Date,Price,Open,High,Low,Vol.,Change %
20-Mar-22,"4,511.61","4,462.24","4,522.70","4,423.90",-,1.09%
13-Mar-22,"4,463.09","4,214.90","4,466.40","4,161.18",-,6.16%
6-Mar-22,"4,204.31","4,319.93","4,324.00","4,157.20",-,-2.88%
27-Feb-22,"4,328.87","4,326.72","4,416.60","4,280.04",-,-1.27%
20-Feb-22,"4,384.62","4,329.23","4,385.80","4,114.50",-,0.82%
13-Feb-22,"4,348.87","4,410.70","4,489.40","4,326.99",-,-1.58%
6-Feb-22,"4,418.64","4,510.20","4,589.70","4,401.00",-,-1.82%
30-Jan-22,"4,500.54","4,423.30","4,595.10","4,411.09",-,1.55%
23-Jan-22,"4,431.85","4,328.40","4,454.10","4,221.54",-,0.77%
16-Jan-22,"4,397.93","4,612.60","4,614.40","4,395.00",-,-5.68%
9-Jan-22,"4,662.85","4,642.60","4,748.61","4,581.80",-,-0.30%
2-Jan-22,"4,677.02","4,781.00","4,817.88","4,662.75",-,-1.87%
26-Dec-21,"4,766.18","4,740.05","4,808.52","4,739.20",-,0.85%
19-Dec-21,"4,725.78","4,562.27","4,740.49","4,530.85",-,2.28%
12-Dec-21,"4,620.64","4,707.40","4,732.34","4,599.40",-,-1.94%
5-Dec-21,"4,712.02","4,565.70","4,713.60","4,541.53",-,3.82%
28-Nov-21,"4,538.43","4,648.68","4,673.07","4,494.20",-,-1.22%
21-Nov-21,"4,594.62","4,716.00","4,743.74","4,585.78",-,-2.20%
14-Nov-21,"4,697.96","4,696.29","4,718.30","4,672.97",-,0.32%
7-Nov-21,"4,682.85","4,709.71","4,714.20","4,630.97",-,-0.31%
31-Oct-21,"4,697.53","4,616.47","4,718.35","4,594.80",-,2.00%
24-Oct-21,"4,605.38","4,556.00","4,608.70","4,537.38",-,1.33%
17-Oct-21,"4,544.90","4,453.57","4,559.70","4,445.90",-,1.64%
10-Oct-21,"4,471.37","4,386.35","4,476.30","4,329.40",-,1.82%
3-Oct-21,"4,391.36","4,344.35","4,430.59","4,278.70",-,0.79%
26-Sep-21,"4,357.05","4,443.10","4,457.25","4,288.05",-,-2.21%
19-Sep-21,"4,455.48","4,361.30","4,465.80","4,305.61",-,0.51%
12-Sep-21,"4,432.99","4,491.90","4,493.79","4,427.90",-,-0.57%
5-Sep-21,"4,458.58","4,532.19","4,532.19","4,457.98",-,-1.69%
29-Aug-21,"4,535.43","4,517.20","4,544.58","4,514.40",-,0.58%
22-Aug-21,"4,509.37","4,459.30","4,513.40","4,459.30",-,1.52%
15-Aug-21,"4,441.67","4,456.10","4,480.01","4,369.20",-,-0.59%
8-Aug-21,"4,468.00","4,436.20","4,468.82","4,424.20",-,0.71%
1-Aug-21,"4,436.52","4,415.90","4,440.20","4,373.20",-,0.94%
25-Jul-21,"4,395.26","4,405.80","4,430.20","4,372.60",-,-0.37%
18-Jul-21,"4,411.80","4,273.40","4,415.90","4,232.80",-,1.96%
11-Jul-21,"4,327.16","4,372.41","4,393.68","4,322.53",-,-0.97%
4-Jul-21,"4,369.55","4,356.46","4,371.60","4,289.37",-,0.40%
27-Jun-21,"4,352.34","4,284.90","4,355.43","4,274.67",-,1.67%
20-Jun-21,"4,280.70","4,173.40","4,286.12","4,173.40",-,2.74%
13-Jun-21,"4,166.45","4,248.31","4,257.16","4,164.40",-,-1.91%
6-Jun-21,"4,247.44","4,229.34","4,249.74","4,208.41",-,0.41%
30-May-21,"4,229.89","4,216.52","4,234.12","4,167.93",-,0.61%
23-May-21,"4,204.11","4,170.16","4,218.36","4,170.16",-,1.16%
16-May-21,"4,155.86","4,169.92","4,188.72","4,061.41",-,-0.43%
9-May-21,"4,173.85","4,228.29","4,236.39","4,056.88",-,-1.39%
2-May-21,"4,232.60","4,191.98","4,238.04","4,128.59",-,1.23%
25-Apr-21,"4,181.17","4,185.03","4,218.78","4,174.85",-,0.02%
18-Apr-21,"4,180.17","4,179.80","4,194.17","4,118.38",-,-0.13%
11-Apr-21,"4,185.47","4,124.71","4,191.31","4,114.82",-,1.37%
4-Apr-21,"4,128.80","4,034.44","4,129.48","4,034.44",-,2.71%
28-Mar-21,"4,019.87","3,969.31","4,020.63","3,943.25",-,1.14%
21-Mar-21,"3,974.54","3,916.48","3,978.19","3,853.50",-,1.57%
14-Mar-21,"3,913.10","3,942.96","3,983.87","3,886.75",-,-0.77%
7-Mar-21,"3,943.34","3,844.39","3,960.27","3,819.25",-,2.64%
28-Feb-21,"3,841.94","3,842.51","3,914.50","3,723.34",-,0.81%
21-Feb-21,"3,811.15","3,885.55","3,928.65","3,789.54",-,-2.45%
14-Feb-21,"3,906.71","3,939.61","3,950.43","3,885.03",-,-0.71%
7-Feb-21,"3,934.83","3,892.59","3,937.23","3,884.94",-,1.23%
31-Jan-21,"3,886.83","3,731.17","3,894.56","3,725.62",-,4.65%
24-Jan-21,"3,714.24","3,851.68","3,870.90","3,694.12",-,-3.31%
17-Jan-21,"3,841.47","3,781.88","3,861.45","3,780.37",-,1.94%
10-Jan-21,"3,768.25","3,803.14","3,823.60","3,749.62",-,-1.48%
3-Jan-21,"3,824.68","3,764.61","3,826.69","3,662.71",-,1.83%
27-Dec-20,"3,756.07","3,723.03","3,760.20","3,723.03",-,1.43%
20-Dec-20,"3,703.06","3,684.28","3,711.24","3,636.48",-,-0.17%
13-Dec-20,"3,709.41","3,675.27","3,726.70","3,645.84",-,1.25%
6-Dec-20,"3,663.46","3,694.73","3,712.39","3,633.40",-,-0.96%
29-Nov-20,"3,699.12","3,634.18","3,699.20","3,594.39",-,1.67%
22-Nov-20,"3,638.35","3,566.82","3,644.31","3,552.77",-,2.27%
15-Nov-20,"3,557.54","3,600.16","3,628.51","3,543.84",-,-0.77%
8-Nov-20,"3,585.15","3,583.04","3,645.99","3,511.91",-,2.16%
1-Nov-20,"3,509.44","3,296.20","3,529.05","3,279.74",-,7.32%
25-Oct-20,"3,269.96","3,441.42","3,441.42","3,233.94",-,-5.64%
18-Oct-20,"3,465.39","3,493.66","3,502.42","3,415.34",-,-0.53%
11-Oct-20,"3,483.81","3,500.02","3,549.85","3,440.89",-,0.19%
4-Oct-20,"3,477.13","3,367.27","3,482.34","3,354.54",-,3.84%
27-Sep-20,"3,348.44","3,333.90","3,397.18","3,323.69",-,1.52%
20-Sep-20,"3,298.46","3,285.57","3,323.35","3,209.45",-,-0.63%
13-Sep-20,"3,319.47","3,363.56","3,428.92","3,292.40",-,-0.64%
6-Sep-20,"3,340.97","3,371.88","3,425.55","3,310.47",-,-2.51%
30-Aug-20,"3,426.96","3,509.73","3,588.11","3,349.63",-,-2.31%
23-Aug-20,"3,508.01","3,418.09","3,509.23","3,413.13",-,3.26%
16-Aug-20,"3,397.16","3,380.86","3,399.96","3,354.69",-,0.72%
9-Aug-20,"3,372.85","3,356.04","3,387.89","3,326.44",-,0.64%
2-Aug-20,"3,351.28","3,288.26","3,352.54","3,284.53",-,2.45%
26-Jul-20,"3,271.12","3,219.84","3,272.17","3,204.13",-,1.73%
19-Jul-20,"3,215.63","3,224.29","3,279.99","3,200.05",-,-0.28%
12-Jul-20,"3,224.73","3,205.08","3,238.28","3,127.66",-,1.25%
5-Jul-20,"3,185.04","3,155.29","3,186.82","3,115.70",-,1.76%
28-Jun-20,"3,130.01","3,018.59","3,165.81","2,999.74",-,4.02%
21-Jun-20,"3,009.05","3,094.42","3,154.90","3,004.63",-,-2.86%
14-Jun-20,"3,097.74","2,993.76","3,155.53","2,965.66",-,1.86%
7-Jun-20,"3,041.31","3,199.92","3,233.13","2,984.47",-,-4.78%
31-May-20,"3,193.93","3,038.78","3,211.72","3,031.54",-,4.91%
24-May-20,"3,044.31","3,004.08","3,068.67","2,969.75",-,3.01%
17-May-20,"2,955.45","2,913.86","2,980.29","2,913.86",-,3.20%
10-May-20,"2,863.70","2,915.46","2,945.82","2,766.64",-,-2.26%
3-May-20,"2,929.80","2,815.01","2,932.16","2,797.85",-,3.50%
26-Apr-20,"2,830.71","2,854.65","2,954.86","2,821.61",-,-0.21%
19-Apr-20,"2,836.74","2,845.62","2,868.98","2,727.10",-,-1.32%
