"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22","755.9546","673.0486","853.2746","673.0486","-","12.32%"
"Feb 22","673.0487","623.7843","700.0093","618.9357","-","7.90%"
"Jan 22","623.7843","561.1805","628.3660","558.4681","-","11.16%"
"Dec 21","561.1805","522.4442","572.8892","509.0838","-","7.41%"
"Nov 21","522.4443","588.2094","594.8341","516.3716","-","-11.18%"
"Oct 21","588.2094","557.7056","599.8605","555.0723","-","5.47%"
"Sep 21","557.7057","527.3676","565.1663","520.7402","-","5.75%"
"Aug 21","527.3677","541.1289","541.2612","493.9939","-","-2.54%"
"Jul 21","541.1290","535.9755","549.5075","504.0913","-","0.96%"
"Jun 21","535.9755","519.2278","538.1569","512.2907","-","3.23%"
"May 21","519.2278","505.8542","530.4951","499.3808","-","2.64%"
"Apr 21","505.8542","467.4139","512.0073","460.9255","-","8.22%"
"Mar 21","467.4140","476.9869","500.9041","458.3189","-","-2.01%"
"Feb 21","476.9869","430.9946","493.1006","430.9946","-","10.67%"
"Jan 21","430.9947","409.7466","438.6077","406.5078","-","5.26%"
"Dec 20","409.4580","385.5940","409.7254","380.7271","-","6.19%"
"Nov 20","385.5940","340.7798","389.4634","333.1107","-","13.15%"
"Oct 20","340.7799","350.1780","365.4283","334.4192","-","-2.68%"
"Sep 20","350.1780","358.2108","362.6131","332.6869","-","-2.24%"
"Aug 20","358.2109","339.8209","363.1297","337.3671","-","5.41%"
"Jul 20","339.8210","325.4830","346.3181","324.6850","-","4.41%"
"Jun 20","325.4830","307.0756","333.8396","302.5725","-","5.99%"
"May 20","307.0756","257.0446","308.0562","251.7750","-","19.46%"
"Apr 20","257.0446","255.5416","292.7880","217.9503","-","0.59%"
"Mar 20","255.5416","358.4439","378.2757","249.4273","-","-28.71%"
"Feb 20","358.4439","388.8018","406.6089","354.0859","-","-7.81%"
"Jan 20","388.8018","436.7599","453.1630","386.8643","-","-10.87%"
"Dec 19","436.2189","409.1913","443.3378","408.6323","-","6.61%"
"Nov 19","409.1913","407.5104","423.6549","407.0099","-","0.41%"
"Oct 19","407.5104","403.6126","417.5896","370.1275","-","0.97%"
"Sep 19","403.6126","397.0581","437.3462","388.4869","-","1.65%"
"Aug 19","397.0581","422.4391","422.4391","385.8164","-","-6.01%"
"Jul 19","422.4391","425.3581","436.7712","410.5644","-","-0.69%"
"Jun 19","425.3581","407.7638","432.7702","394.8968","-","4.31%"
"May 19","407.7638","446.4518","447.7199","407.0135","-","-8.67%"
"Apr 19","446.4518","434.1253","458.6667","434.1253","-","2.84%"
"Mar 19","434.1253","426.3466","440.6232","415.1518","-","1.82%"
"Feb 19","426.3466","407.8907","431.5452","402.8001","-","4.52%"
"Jan 19","407.8907","374.3282","415.1157","369.5535","-","8.97%"
"Dec 18","374.3282","406.5198","422.8652","365.9394","-","-7.92%"
"Nov 18","406.5197","456.3168","457.8904","400.0247","-","-10.91%"
