Date,Price,Open,High,Low,Vol.,Change %
20-Mar-22,755.9546,725.606,758.4097,725.606,-,4.18%
13-Mar-22,725.606,740.8351,740.8351,679.2655,-,-2.06%
6-Mar-22,740.8351,780.2378,853.2746,715.2547,-,-5.42%
27-Feb-22,783.317,652.6157,784.2365,652.6157,-,20.03%
20-Feb-22,652.6157,643.5969,700.0093,643.5969,-,1.40%
13-Feb-22,643.5969,643.0807,653.4141,632.1014,-,0.08%
6-Feb-22,643.0807,641.6661,647.743,627.7426,-,0.01%
30-Jan-22,643.0133,620.3488,646.4366,617.1853,-,3.65%
23-Jan-22,620.3488,608.8819,627.39,595.1512,-,1.88%
16-Jan-22,608.8819,596.7587,615.9447,596.7587,-,2.03%
9-Jan-22,596.7587,577.8374,597.6657,573.2064,-,3.22%
2-Jan-22,578.1148,561.1805,582.065,558.4681,-,3.02%
26-Dec-21,561.1805,558.3459,572.8892,554.2672,-,0.51%
19-Dec-21,558.3459,540.2867,558.7841,522.2948,-,3.34%
12-Dec-21,540.2867,544.1495,550.012,532.4422,-,-0.74%
5-Dec-21,544.3262,525.1532,550.4034,525.1532,-,3.65%
28-Nov-21,525.1532,539.9278,556.6259,509.0838,-,-2.74%
21-Nov-21,539.9278,567.1326,583.9728,535.9597,-,-4.80%
14-Nov-21,567.1327,579.6246,584.1881,563.3451,-,-2.16%
7-Nov-21,579.6247,579.8726,588.8434,574.615,-,-0.11%
31-Oct-21,580.2639,588.2094,594.8341,571.9274,-,-1.35%
24-Oct-21,588.2094,590.0573,599.8605,579.9638,-,-0.31%
17-Oct-21,590.0573,591.7258,598.0803,572.8511,-,-0.28%
10-Oct-21,591.7259,576.4987,593.5797,574.4592,-,2.57%
3-Oct-21,576.8771,561.9095,583.4461,559.3959,-,2.66%
26-Sep-21,561.9096,549.7232,565.1663,549.0702,-,2.22%
19-Sep-21,549.7233,538.8524,550.4677,524.1751,-,2.02%
12-Sep-21,538.8525,531.132,547.8554,531.0668,-,1.40%
5-Sep-21,531.425,531.873,532.6837,522.4921,-,-0.08%
29-Aug-21,531.873,529.0991,536.0323,520.7402,-,0.52%
22-Aug-21,529.0991,494.4292,529.2918,494.4292,-,7.01%
15-Aug-21,494.4293,524.7447,524.7447,493.9939,-,-5.78%
8-Aug-21,524.7447,522.0897,528.4711,508.5736,-,0.46%
1-Aug-21,522.3383,541.1289,541.2612,519.5254,-,-3.47%
25-Jul-21,541.129,532.4833,543.4413,526.2349,-,1.62%
18-Jul-21,532.4833,528.1744,533.1802,504.0913,-,0.82%
11-Jul-21,528.1744,531.0875,538.7239,523.8256,-,-0.67%
4-Jul-21,531.7583,541.4566,549.5075,517.5462,-,-1.79%
27-Jun-21,541.4566,529.9653,548.1494,524.5825,-,2.17%
20-Jun-21,529.9653,520.0316,532.8204,515.3941,-,1.91%
13-Jun-21,520.0316,532.0251,533.805,512.2907,-,-2.25%
6-Jun-21,532.0251,532.2619,535.6789,525.9473,-,-0.32%
30-May-21,533.7398,519.2278,534.775,519.2278,-,2.79%
23-May-21,519.2278,506.4006,523.4326,504.7458,-,2.53%
16-May-21,506.4006,514.9969,525.9233,499.3808,-,-1.67%
9-May-21,514.9969,523.1316,530.4951,509.2505,-,-1.54%
2-May-21,523.0299,505.8542,523.811,504.9506,-,3.40%
25-Apr-21,505.8542,494.1002,512.0073,491.1717,-,2.38%
18-Apr-21,494.1003,488.7237,495.4816,483.3939,-,1.10%
11-Apr-21,488.7238,471.1332,492.1412,467.9029,-,3.73%
4-Apr-21,471.1558,474.0236,475.0852,460.9255,-,-0.61%
28-Mar-21,474.0237,474.0144,476.5176,466.1363,-,0.00%
21-Mar-21,474.0144,475.1012,477.3769,458.3189,-,-0.23%
14-Mar-21,475.1012,492.216,495.5473,464.4446,-,-3.48%
7-Mar-21,492.216,491.4893,500.9041,480.4333,-,0.16%
28-Feb-21,491.4321,476.9869,492.7017,466.4538,-,3.03%
21-Feb-21,476.9869,470.0881,493.1006,470.0881,-,1.47%
14-Feb-21,470.0881,463.95,478.2152,463.95,-,1.32%
7-Feb-21,463.95,450.6798,465.2827,450.6798,-,2.96%
31-Jan-21,450.6114,430.9946,453.2088,430.9946,-,4.55%
24-Jan-21,430.9947,427.4073,437.7831,426.4954,-,0.84%
17-Jan-21,427.4073,431.7619,434.8264,424.1232,-,-1.00%
10-Jan-21,431.7415,427.8419,438.6077,422.5124,-,0.98%
3-Jan-21,427.5555,409.7466,427.954,406.5078,-,4.42%
27-Dec-20,409.458,404.6695,409.7254,401.5203,-,1.18%
20-Dec-20,404.6696,408.0171,408.0171,393.6919,-,-0.82%
13-Dec-20,408.0172,393.7225,408.5991,390.7887,-,3.63%
6-Dec-20,393.7225,388.6809,398.6646,383.1051,-,1.33%
29-Nov-20,388.5492,388.0613,391.4014,380.7271,-,0.13%
22-Nov-20,388.0614,373.8664,389.4634,373.8664,-,3.80%
15-Nov-20,373.8664,364.499,375.0861,364.499,-,2.57%
8-Nov-20,364.499,350.3619,376.9476,350.3619,-,4.26%
1-Nov-20,349.6171,340.7798,358.9409,333.1107,-,2.59%
25-Oct-20,340.7799,358.7681,358.7681,335.0226,-,-5.01%
18-Oct-20,358.7681,362.6056,365.4283,357.5875,-,-1.06%
11-Oct-20,362.6056,361.2474,363.9872,354.9098,-,0.56%
4-Oct-20,360.5772,337.4763,363.6718,337.4763,-,6.85%
27-Sep-20,337.4763,348.2298,352.1543,334.4192,-,-3.09%
20-Sep-20,348.2298,358.0317,358.5273,344.3744,-,-2.74%
13-Sep-20,358.0317,342.0593,359.1136,341.0375,-,4.98%
6-Sep-20,341.0515,347.9667,347.9667,332.6869,-,-1.74%
30-Aug-20,347.1072,359.9485,363.1297,345.4468,-,-3.57%
23-Aug-20,359.9485,353.3645,361.5046,353.1015,-,1.86%
16-Aug-20,353.3645,352.1706,358.804,349.957,-,0.34%
9-Aug-20,352.1706,345.6857,353.5236,345.6857,-,2.03%
2-Aug-20,345.1536,339.8209,355.5284,337.3671,-,1.57%
26-Jul-20,339.821,342.0064,345.147,332.1002,-,-0.64%
19-Jul-20,342.0064,337.4588,346.3181,333.133,-,1.35%
12-Jul-20,337.4588,338.2954,340.1167,331.6332,-,-0.13%
5-Jul-20,337.9027,332.8597,339.2362,330.1991,-,1.52%
28-Jun-20,332.8598,318.092,333.1559,314.7787,-,4.64%
21-Jun-20,318.092,327.6412,333.8396,314.5014,-,-2.91%
14-Jun-20,327.6412,314.278,330.692,307.1388,-,4.25%
7-Jun-20,314.278,326.0715,329.9132,307.8075,-,-3.46%
31-May-20,325.544,307.0756,326.2749,302.5725,-,6.01%
24-May-20,307.0756,297.9222,308.0562,292.7368,-,3.07%
17-May-20,297.9223,285.1523,305.6231,285.1523,-,4.48%
10-May-20,285.1523,279.789,285.8852,271.5523,-,2.53%
3-May-20,278.1284,256.4889,280.2186,251.775,-,8.44%
26-Apr-20,256.4889,241.446,261.5136,222.9875,-,6.23%
19-Apr-20,241.446,270.574,270.574,217.9503,-,-10.77%
12-Apr-20,270.574,279.9853,288.0999,268.3733,-,-2.11%
5-Apr-20,276.4104,275.4447,292.788,267.4297,-,0.35%
29-Mar-20,275.4447,261.5391,280.35,246.8508,-,5.32%
22-Mar-20,261.5391,261.586,275.8989,254.4212,-,-0.02%
15-Mar-20,261.5861,298.6075,298.6075,249.4273,-,-12.34%
8-Mar-20,298.4005,345.5277,345.702,290.8938,-,-13.54%
1-Mar-20,345.1365,358.4439,378.2757,344.5098,-,-3.71%
23-Feb-20,358.4439,400.5355,400.5355,354.0859,-,-10.51%
16-Feb-20,400.5355,396.2265,406.6089,392.8854,-,1.09%
9-Feb-20,396.2265,386.8413,397.6687,381.7906,-,2.60%
2-Feb-20,386.197,388.8018,392.1314,380.0457,-,-0.67%
