Date,Value
1/1/2022,19.78T
12/1/2021,19.79T
11/1/2021,19.78T
10/1/2021,19.89T
9/1/2021,19.58T
8/1/2021,19.52T
7/1/2021,19.34T
6/1/2021,19.41T
5/1/2021,19.36T
4/1/2021,19.35T
3/1/2021,19.26T
2/1/2021,18.80T
1/1/2021,19.11T
12/1/2020,18.67T
11/1/2020,18.71T
10/1/2020,18.93T
9/1/2020,18.78T
8/1/2020,18.58T
7/1/2020,18.33T
6/1/2020,18.15T
5/1/2020,17.19T
4/1/2020,16.44T
3/1/2020,18.28T
2/1/2020,19.35T
1/1/2020,19.22T
12/1/2019,19.22T
11/1/2019,19.22T
10/1/2019,19.16T
9/1/2019,19.14T
8/1/2019,19.11T
7/1/2019,19.09T
6/1/2019,19.07T
5/1/2019,18.96T
4/1/2019,18.91T
3/1/2019,18.83T
2/1/2019,18.82T
1/1/2019,18.85T
12/1/2018,18.75T
11/1/2018,18.67T
10/1/2018,18.75T
9/1/2018,18.68T
8/1/2018,18.72T
7/1/2018,18.63T
6/1/2018,18.63T
5/1/2018,18.60T
4/1/2018,18.55T
3/1/2018,18.42T
2/1/2018,18.49T
1/1/2018,18.40T
12/1/2017,18.37T
11/1/2017,18.33T
10/1/2017,18.19T
9/1/2017,18.19T
8/1/2017,18.11T
7/1/2017,18.08T
6/1/2017,18.09T
5/1/2017,18.00T
4/1/2017,17.90T
3/1/2017,17.95T
2/1/2017,17.88T
1/1/2017,17.86T
12/1/2016,17.86T
11/1/2016,17.83T
10/1/2016,17.74T
9/1/2016,17.80T
8/1/2016,17.74T
7/1/2016,17.63T
6/1/2016,17.63T
5/1/2016,17.59T
4/1/2016,17.64T
3/1/2016,17.63T
2/1/2016,17.52T
1/1/2016,17.55T
12/1/2015,17.48T
11/1/2015,17.43T
10/1/2015,17.49T
9/1/2015,17.50T
8/1/2015,17.41T
7/1/2015,17.40T
6/1/2015,17.40T
5/1/2015,17.35T
4/1/2015,17.40T
3/1/2015,17.21T
2/1/2015,17.35T
1/1/2015,17.28T
12/1/2014,17.13T
11/1/2014,17.15T
10/1/2014,17.14T
9/1/2014,17.05T
8/1/2014,17.12T
7/1/2014,17.03T
6/1/2014,16.94T
5/1/2014,16.87T
4/1/2014,16.80T
3/1/2014,16.68T
2/1/2014,16.68T
1/1/2014,16.61T
12/1/2013,16.71T
11/1/2013,16.75T
10/1/2013,16.68T
9/1/2013,16.61T
8/1/2013,16.62T
7/1/2013,16.56T
6/1/2013,16.52T
5/1/2013,16.42T
4/1/2013,16.45T
3/1/2013,16.44T
2/1/2013,16.37T
1/1/2013,16.52T
12/1/2012,16.39T
11/1/2012,16.29T
10/1/2012,16.22T
9/1/2012,16.29T
8/1/2012,16.24T
7/1/2012,16.32T
6/1/2012,16.25T
5/1/2012,16.27T
4/1/2012,16.24T
3/1/2012,16.14T
2/1/2012,16.32T
1/1/2012,16.08T
12/1/2011,16.03T
11/1/2011,16.03T
10/1/2011,16.08T
9/1/2011,15.81T
8/1/2011,15.94T
7/1/2011,15.86T
6/1/2011,15.82T
5/1/2011,15.87T
4/1/2011,15.94T
3/1/2011,15.90T
2/1/2011,15.69T
1/1/2011,15.71T
12/1/2010,15.85T
11/1/2010,15.76T
10/1/2010,15.81T
9/1/2010,15.77T
8/1/2010,15.69T
7/1/2010,15.72T
6/1/2010,15.65T
5/1/2010,15.57T
4/1/2010,15.59T
3/1/2010,15.53T
2/1/2010,15.44T
