Date,Price,Open,High,Low,Change %
20-Mar-22,0.538,0.4085,0.5762,0.4085,29.95%
13-Mar-22,0.414,0.383,0.49,0.383,4.55%
6-Mar-22,0.396,0.332,0.429,0.325,18.21%
27-Feb-22,0.335,0.343,0.408,0.315,-3.74%
20-Feb-22,0.348,0.36,0.411,0.307,-2.79%
13-Feb-22,0.358,0.373,0.467,0.345,-4.02%
6-Feb-22,0.373,0.238,0.469,0.218,56.72%
30-Jan-22,0.238,0.2,0.251,0.183,25.26%
23-Jan-22,0.19,0.175,0.236,0.167,11.76%
16-Jan-22,0.17,0.142,0.211,0.132,31.78%
9-Jan-22,0.129,0.109,0.15,0.096,34.37%
2-Jan-22,0.096,0.056,0.122,0.048,81.13%
26-Dec-21,0.053,0.084,0.091,0.043,-25.35%
19-Dec-21,0.071,0.056,0.091,0.043,39.22%
12-Dec-21,0.051,0.063,0.081,0.043,-19.05%
5-Dec-21,0.063,0.061,0.084,0.051,18.87%
28-Nov-21,0.053,0.058,0.071,0.043,0.00%
21-Nov-21,0.053,0.058,0.089,0.048,3.92%
14-Nov-21,0.051,0.053,0.066,0.043,-3.77%
7-Nov-21,0.053,0.048,0.066,0.041,15.22%
31-Oct-21,0.046,0.063,0.068,0.041,-20.69%
24-Oct-21,0.058,0.061,0.071,0.051,-4.92%
17-Oct-21,0.061,0.051,0.066,0.051,27.08%
10-Oct-21,0.048,0.058,0.066,0.046,-5.88%
3-Oct-21,0.051,0.038,0.063,0.036,34.21%
26-Sep-21,0.038,0.041,0.079,0.03,8.57%
19-Sep-21,0.035,0.043,0.046,0.025,-7.89%
12-Sep-21,0.038,0.051,0.053,0.036,-20.83%
5-Sep-21,0.048,0.048,0.058,0.041,4.35%
29-Aug-21,0.046,0.056,0.061,0.041,-13.21%
22-Aug-21,0.053,0.061,0.068,0.043,0.00%
15-Aug-21,0.053,0.061,0.081,0.051,0.00%
8-Aug-21,0.053,0.053,0.066,0.048,3.92%
1-Aug-21,0.051,0.056,0.066,0.046,10.87%
25-Jul-21,0.046,0.056,0.061,0.046,-9.80%
18-Jul-21,0.051,0.056,0.061,0.041,10.87%
11-Jul-21,0.046,0.058,0.063,0.046,-13.21%
4-Jul-21,0.053,0.048,0.063,0.048,3.92%
27-Jun-21,0.051,0.056,0.066,0.046,-3.77%
20-Jun-21,0.053,0.048,0.058,0.036,29.27%
13-Jun-21,0.041,0.033,0.053,0.015,46.43%
6-Jun-21,0.028,0.023,0.038,0.02,40.00%
30-May-21,0.02,0.02,0.03,0.013,53.85%
23-May-21,0.013,0.013,0.025,0.008,160.00%
16-May-21,0.005,0.02,0.03,0.005,-50.00%
9-May-21,0.01,0.023,0.025,0.01,-33.33%
2-May-21,0.015,0.01,0.033,0.008,15.38%
25-Apr-21,0.013,0.023,0.038,0.01,-35.00%
18-Apr-21,0.02,0.018,0.041,0.015,11.11%
11-Apr-21,0.018,0.015,0.038,0.013,38.46%
4-Apr-21,0.013,0.028,0.033,0.01,-35.96%
28-Mar-21,0.0203,0.02,0.036,0.015,1.50%
21-Mar-21,0.02,0.015,0.033,0.01,100.00%
14-Mar-21,0.01,0.033,0.038,0.005,-66.67%
7-Mar-21,0.03,0.038,0.056,0.03,-21.05%
