"Date","Price","Open","High","Low","Change %"
"Mar 20, 2022","2.4287","2.1461","2.4287","2.1429","13.17%"
"Mar 13, 2022","2.1461","1.9960","2.2400","1.9910","10.08%"
"Mar 06, 2022","1.9496","1.5690","1.9700","1.5580","18.37%"
"Feb 27, 2022","1.6470","1.7900","1.8140","1.5230","-11.93%"
"Feb 20, 2022","1.8701","1.7690","1.9210","1.7500","2.82%"
"Feb 13, 2022","1.8188","1.8640","1.9590","1.8050","-0.75%"
"Feb 06, 2022","1.8325","1.7750","1.9840","1.7550","3.34%"
"Jan 30, 2022","1.7732","1.6360","1.7900","1.5700","9.40%"
"Jan 23, 2022","1.6208","1.5750","1.7010","1.4940","3.10%"
"Jan 16, 2022","1.5721","1.5930","1.6930","1.5270","0.81%"
"Jan 09, 2022","1.5594","1.5050","1.5610","1.4650","3.71%"
"Jan 02, 2022","1.5036","1.3210","1.5250","1.2910","19.05%"
"Dec 26, 2021","1.2630","1.2420","1.3100","1.2370","1.58%"
"Dec 19, 2021","1.2434","1.1460","1.2480","1.1150","5.53%"
"Dec 12, 2021","1.1782","1.2630","1.3010","1.1420","-5.49%"
"Dec 05, 2021","1.2467","1.1660","1.3040","1.1580","9.36%"
"Nov 28, 2021","1.1400","1.2190","1.2450","1.0700","-2.51%"
"Nov 21, 2021","1.1693","1.2380","1.3800","1.1610","-4.39%"
"Nov 14, 2021","1.2230","1.2290","1.2830","1.1450","-0.37%"
"Nov 07, 2021","1.2276","1.0590","1.2630","1.0570","16.31%"
"Oct 31, 2021","1.0555","1.2140","1.2270","1.0410","-10.91%"
"Oct 24, 2021","1.1848","1.2070","1.2510","1.1300","-1.32%"
"Oct 17, 2021","1.2006","1.1450","1.2520","1.1290","6.82%"
"Oct 10, 2021","1.1239","1.0920","1.1280","1.0420","6.40%"
"Oct 03, 2021","1.0563","0.9220","1.0630","0.9200","13.63%"
"Sep 26, 2021","0.9296","0.9570","1.0420","0.9280","-1.99%"
"Sep 19, 2021","0.9485","0.8620","0.9630","0.8100","10.09%"
"Sep 12, 2021","0.8616","0.8160","0.8830","0.7680","5.59%"
"Sep 05, 2021","0.8160","0.7920","0.8300","0.7740","3.91%"
"Aug 29, 2021","0.7853","0.7950","0.8110","0.7440","-1.97%"
"Aug 22, 2021","0.8011","0.7880","0.8640","0.7670","2.26%"
"Aug 15, 2021","0.7834","0.7780","0.8060","0.7230","0.91%"
"Aug 08, 2021","0.7763","0.7680","0.8500","0.7450","0.28%"
"Aug 01, 2021","0.7741","0.6980","0.7770","0.6060","11.62%"
"Jul 25, 2021","0.6935","0.7150","0.7620","0.6760","-2.79%"
