Date,MPRIME,MPRIMEpct,MPRIMEstd,VIX,VIXpct,VIXstd,RealGDP,RealGDPpct,RealGDPstd,UNRATEpct,UNRATEstd,income,incomepct,incomestd,CPIpct,CPIstd,bond10,bond10pct,bond5pct,bond5,bond3pct,bond3,commodity,commoditypct,SP500pct,SP500
3/1/2022,3.37,0.036923077,0.037947332,20.559999,-0.318076318,3.413302041,,,,3.6,0.514830069,,,,,,2.415,0.326,0.4179,2.4287,0.6708,0.538,755.9546,0.1232,0.0315,4511.61
2/1/2022,3.25,0,0,30.15,0.214256947,3.530415095,19.78,-0.000505306,0.222850224,3.8,0.527494076,45970,-0.001823946,351.1571514,,,1.822,0.0212,0.061,1.7129,0.7405,0.322,673.0487,0.079,-0.0314,4373.79
1/1/2022,3.25,0,0,24.83,0.441928074,2.728991122,19.79,0.000505561,0.300053699,4,0.535770473,46054,-0.004280896,513.061088,0.841457378,0.184936332,1.784,0.1799,0.2782,1.6144,2.4906,0.185,623.7843,0.1116,-0.0526,4515.55
12/1/2021,3.25,0,0,17.219999,-0.366678986,2.41994443,19.78,-0.005530417,0.287510386,3.9,0.522541864,46252,-0.002587768,2294.555888,0.307251716,0.178217705,1.512,0.0382,0.0816,1.263,0,0.053,561.1805,0.0741,0.0436,4766.18
11/1/2021,3.25,0,0,27.190001,0.672201784,3.03653142,19.89,0.015832482,0.297246624,4.2,0.467974358,46372,-0.001636238,2274.599982,0.49134275,0.166395015,1.456,-0.0671,-0.0144,1.1677,-0.0862,0.053,522.4443,-0.1118,-0.0083,4567
10/1/2021,3.25,0,0,16.26,-0.297320627,3.877799928,19.58,0.00307377,0.313547799,4.6,0.415692194,46448,-0.00174085,2317.20218,0.830811855,0.169290034,1.561,0.0458,0.2198,1.1848,0.5263,0.058,588.2094,0.0547,0.0691,4605.38
9/1/2021,3.25,0,0,23.139999,0.404126153,3.759209055,19.52,0.009307135,0.291555217,4.7,0.396295344,46529,-0.016445769,2320.84719,0.271597086,0.190399997,1.492,0.1418,0.2525,0.9713,-0.1739,0.038,557.7057,0.0575,-0.0476,4307.54
8/1/2021,3.25,0,0,16.48,-0.096491228,3.733191458,19.34,-0.003606388,0.292832906,5.2,0.333241654,47307,-0.001287789,2332.289107,0.206591136,0.223126466,1.307,0.0665,0.1182,0.7755,0,0.046,527.3677,-0.0254,0.029,4522.68
7/1/2021,3.25,0,0,18.24,0.152242577,5.014806879,19.41,0.002582645,0.293304923,5.4,0.316227766,47368,0.008151538,2345.037053,0.481052353,0.236180103,1.226,-0.1651,-0.2217,0.6935,0,0.046,541.129,0.0096,0.0227,4395.26
6/1/2021,3.25,0,0,15.83,-0.05548926,4.914629448,19.36,0.000516796,0.315305848,5.9,0.425734659,46985,-0.004470718,2351.438959,0.92906629,0.24691199,1.468,-0.0713,0.1303,0.891,2.5385,0.046,535.9755,0.0323,0.0222,4297.5
5/1/2021,3.25,0,0,16.76,-0.099408968,4.540443843,19.35,0.004672897,0.33259251,5.8,0.570087713,47196,-0.029707448,2355.227621,0.801710515,0.219528149,1.581,-0.0278,-0.0718,0.7883,0,0.013,519.2278,0.0264,0.0055,4204.11
4/1/2021,3.25,0,0,18.610001,-0.040721598,4.116341846,19.26,0.024468085,0.544268112,6,0.894538987,48641,-0.15549421,2335.071973,0.821890915,0.199386133,1.626,-0.0677,-0.0943,0.8493,-0.4348,0.013,505.8542,0.0822,0.0524,4181.17
3/1/2021,3.25,0,0,19.4,-0.305903424,3.844019094,18.8,-0.016221873,0.842000924,6,1.164130577,57597,0.229680395,2335.647307,0.708327313,0.174047332,1.744,0.2399,0.285,0.9377,-0.439,0.023,467.414,-0.0201,0.0424,3972.89
2/1/2021,3.25,0,0,27.950001,-0.155333908,3.40840611,19.11,0.02356722,0.791471204,6.2,1.583414033,46839,-0.084800406,1049.582288,0.547438279,0.160508515,1.407,0.3138,0.7145,0.7297,-0.2931,0.041,476.9869,0.1067,0.0261,3811.15
1/1/2021,3.25,0,0,33.09,0.454505495,3.669783828,18.67,-0.002137894,0.861848143,6.4,1.980517609,51179,0.103685493,1313.813564,0.425378349,0.238405963,1.071,0.1681,0.1796,0.4256,-0.2658,0.058,430.9947,0.0526,-0.0111,3714.24
12/1/2020,3.25,0,0.167600716,22.75,0.105979582,6.475072027,18.71,-0.011621764,0.904547155,6.7,2.15973378,46371,0.001858053,1312.188037,0.094147847,0.238145004,0.916,0.0882,-0.0085,0.3608,-0.0247,0.079,409.458,0.0619,0.0371,3756.07
11/1/2020,3.25,0,0.485204424,20.57,-0.458968964,6.493945952,18.93,0.00798722,0.930378656,6.7,2.421662652,46285,-0.013049875,1369.827962,-0.061062722,0.242090964,0.842,-0.0361,-0.0533,0.3639,-0.1383,0.081,385.594,0.1315,0.1075,3621.63
10/1/2020,3.25,0,0.626703013,38.02,0.441789858,6.65661818,18.78,0.010764263,0.962609878,6.9,2.638569688,46897,-0.004985997,1438.684879,0.041493776,0.246978494,0.874,0.2742,0.3807,0.3844,-0.0208,0.094,340.7799,-0.0268,-0.0277,3269.96
9/1/2020,3.25,0,0.707170418,26.370001,-0.00151454,7.49134798,18.58,0.013638843,0.991824357,7.9,2.817303676,47132,0.005547022,1543.245484,0.139274694,0.250989974,0.686,-0.0293,0.0353,0.2784,-0.0943,0.096,350.178,-0.0224,-0.0392,3363
8/1/2020,3.25,0,0.746607885,26.41,0.079722039,8.307488056,18.33,0.009917355,1.013235193,8.4,2.971439045,46872,-0.037199844,1618.205458,0.315321052,0.253550017,0.706,0.3251,0.286,0.2689,0.1277,0.106,358.2109,0.0541,0.0701,3500.31
7/1/2020,3.25,0,0.779544739,24.459999,-0.196188005,8.898567732,18.15,0.055846422,1.017961471,10.2,3.080105518,48683,0.005722431,1687.301165,0.50582435,0.250519905,0.533,-0.1894,-0.2735,0.2091,-0.3605,0.094,339.821,0.0441,0.0551,3271.12
6/1/2020,3.25,0,0.787090987,30.43,0.106143221,9.176209336,17.19,0.045620438,0.88768175,11,3.07411776,48406,-0.017017302,1674.226372,0.547204693,0.230804357,0.658,0.0078,-0.052,0.2878,0.0352,0.147,325.483,0.0599,0.0184,3100.29
5/1/2020,3.25,0,0.753334071,27.51,-0.194436358,9.223907021,16.44,-0.100656455,0.294852129,13.2,2.921309638,49244,-0.048774363,1638.012181,0.001950162,0.198660585,0.653,0.0108,-0.1694,0.3036,0.3396,0.142,307.0756,0.1946,0.0453,3044.31
4/1/2020,3.25,-0.14021164,0.682101328,34.150002,-0.362159108,9.37787161,18.28,-0.055297158,0.106687498,14.7,2.344952025,51769,0.156590706,1475.039127,-0.668694187,0.2020716,0.646,-0.0334,-0.0217,0.3655,-0.197,0.106,257.0446,0.0059,0.1268,2912.43
3/1/2020,3.78,-0.204210526,0.50051196,53.540001,0.334829211,9.192152355,19.35,0.006763788,0.107600083,4.4,0.179025138,44760,-0.015246518,203.7618831,-0.217645103,0.124237793,0.668,-0.4259,-0.6074,0.3736,-0.8973,0.132,255.5416,-0.2871,-0.1251,2584.59
2/1/2020,4.75,0,0.334313559,40.110001,1.128980945,5.359164293,19.22,0,0.131356174,3.5,0.049497475,45453,0.00590891,220.3281643,0.274061813,0.104929085,1.163,-0.2271,-0.2763,0.9516,-0.1731,1.285,358.4439,-0.0781,-0.0841,2954.22
1/1/2020,4.75,0,0.333939449,18.84,0.367198839,1.680798691,19.22,0,0.141456707,3.5,0.04472136,45186,0.008616071,165.7123411,0.387976994,0.133538543,1.505,-0.2158,-0.2231,1.315,-0.0013,1.554,388.8018,-0.1087,-0.0016,3225.52
