Date,MPRIME,MPRIMEpct,MPRIMEstd,VIXlog,VIXlog_return,VIXpct,VIXstd,RealGDPpct,RealGDPstd,UNRATEpct,UNRATEstd,incomepct,incomelog_std,CPIpct,CPIstd,bond10,bond10pct,bond10std,bond5,bond5pct,bond5std,bond3,bond3pct,bond3std,commoditylog,commoditylog_return,commoditypct,commoditystd,SP500pct,SP500log_std,yield_diff,b30ret,b30std,b1ret,b1std,risk free
12/1/2021,3.25,0,0,2.846071441,-0.456777854,-0.366678986,2.41994443,-0.005530417,0.287510386,3.9,0.522541864,-0.002587768,3.36069864,0.307251716,0.178217705,1.512,0.0382,0.152004971,1.263,0.0816,0.170469853,0.053,0,0.015986453,6.330042601,0.071524225,0.0741,35.70436222,0.0436,2.408573068,1.459,-0.023094,59.70093145,-0.001374,1.292001161,0.050695582
11/1/2021,3.25,0,0,3.302849295,0.514141191,0.672201784,3.03653142,0.015832482,0.297246624,4.2,0.467974358,-0.001636238,3.356905031,0.49134275,0.166395015,1.456,-0.0671,0.201402885,1.1677,-0.0144,0.199498889,0.053,-0.0862,0.016585134,6.258518375,-0.118564632,-0.1118,46.34029689,-0.0083,2.465207394,1.403,0.032451,59.70093145,-0.000465,1.292001161,0.045627598
10/1/2021,3.25,0,0,2.788708104,-0.352854574,-0.297320627,3.877799928,0.00307377,0.313547799,4.6,0.415692194,-0.00174085,3.364963928,0.830811855,0.169290034,1.561,0.0458,0.256927919,1.1848,0.2198,0.204336982,0.058,0.5263,0.020287106,6.377083007,0.053251603,0.0547,49.37612972,0.0691,2.454358382,1.503,0.026981,59.70093145,-0.000689,1.292001161,0.081113825
9/1/2021,3.25,0,0,3.141562679,0.339415154,0.404126153,3.759209055,0.009307135,0.291555217,4.7,0.396295344,-0.016445769,3.365646546,0.271597086,0.190399997,1.492,0.1418,0.304356808,0.9713,0.2525,0.218479102,0.038,-0.1739,0.023968498,6.323831404,0.055933376,0.0575,55.55642016,-0.0476,2.497674742,1.454,-0.023236,104.4637273,0.000279,0.785385892,0.065908225
8/1/2021,3.25,0,0,2.802147524,-0.10146946,-0.096491228,3.733191458,-0.003606388,0.292832906,5.2,0.333241654,-0.001287789,3.367782384,0.206591136,0.223126466,1.307,0.0665,0.335436117,0.7755,0.1182,0.23422639,0.046,0,0.028632538,6.267898028,-0.02575967,-0.0254,67.85257392,0.029,2.546064204,1.261,-0.004704,50.97976991,-0.000238,0.468824416,0.050695582
7/1/2021,3.25,0,0,2.903616985,0.141710111,0.152242577,5.014806879,0.002582645,0.293304923,5.4,0.316227766,0.008151538,3.370149709,0.481052353,0.236180103,1.226,-0.1651,0.384210084,0.6935,-0.2217,0.259578421,0.046,0,0.032125449,6.293657698,0.009569247,0.0096,69.74617316,0.0227,2.542675662,1.18,0.044448,52.9881213,0.000434,0.203649208,0.055767755
6/1/2021,3.25,0,0,2.761906874,-0.057088221,-0.05548926,4.914629448,0.000516796,0.315305848,5.9,0.425734659,-0.004470718,3.371333709,0.92906629,0.24691199,1.468,-0.0713,0.404896434,0.891,0.1303,0.256862739,0.046,2.5385,0.035777709,6.284088451,0.031745743,0.0323,65.74151255,0.0222,2.501149598,1.422,0.045272,82.98732012,-0.000281,0.293960882,0.045625924
5/1/2021,3.25,0,0,2.818995095,-0.104704029,-0.099408968,4.540443843,0.004672897,0.33259251,5.8,0.570087713,-0.029707448,3.372032886,0.801710515,0.219528149,1.581,-0.0278,0.41509256,0.7883,-0.0718,0.259614016,0.013,0,0.032908121,6.252342708,0.026094222,0.0264,61.34166012,0.0055,2.480092627,1.568,0.002703,149.4411759,0.000263,0.297718547,0.038022643
4/1/2021,3.25,0,0,2.923699124,-0.041573942,-0.040721598,4.116341846,0.024468085,0.544268112,6,0.894538987,-0.15549421,3.368300271,0.821890915,0.199386133,1.626,-0.0677,0.37424147,0.8493,-0.0943,0.23009684,0.013,-0.4348,0.035012537,6.226248485,0.079033111,0.0822,55.09066557,0.0524,2.450351993,1.613,0.027124,87.80532651,0.000144,0.212803509,0.040556242
3/1/2021,3.25,0,0,2.965273066,-0.365144169,-0.305903424,3.844019094,-0.016221873,0.842000924,6,1.164130577,0.229680395,3.368407263,0.708327313,0.174047332,1.744,0.2399,0.255061735,0.9377,0.285,0.144414587,0.023,-0.439,0.032930229,6.147215375,-0.020273653,-0.0201,52.85615026,0.0424,2.440582025,1.721,-0.054127,52.2612101,0.0004,0.278948024,0.055767798
