Date,b30,b30ret,b1,b1ret,bond10,bond10pct,bond10std,bond5,bond5pct,bond5std,bond3,bond3pct,bond3std,commoditypct,commoditylog_std,VIXpct,VIXstd,log_VIX,log_return_VIX,log_commodity,log_return_commodity,yield_diff,SP500pct
12/26/2021,1.905,0.053,0.056,0.7,1.512,0.0129,0.083045904,1.263,0.0158,0.057514355,0.053,-0.2535,0.007302967,0.0051,1.36269667,-0.041202675,5.254158422,2.846071441,-0.085655503,6.330042601,-0.029729864,1.459,0.009
12/19/2021,1.81,-0.038,0.033,-0.06,1.493,0.0607,0.08626194,1.2434,0.0553,0.056884116,0.071,0.3922,0.005437524,0.0334,1.396417051,-0.167362123,5.394334181,2.888147007,0.042075566,6.324978663,-0.005063938,1.422,0.023
12/12/2021,1.882,0.117,0.035,0.25,1.407,-0.0505,0.084109453,1.1782,-0.0549,0.068073458,0.051,-0.1905,0.005437524,-0.0074,1.372633379,0.154093036,5.488397614,3.07130346,0.183156453,6.292099925,-0.032878738,1.356,-0.019
12/5/2021,1.684,-0.078,0.028,-0.39,1.482,0.0926,0.085301361,1.2467,0.0936,0.093674806,0.063,0.1887,0.006356099,0.0365,1.346586868,-0.390609684,5.460665165,2.927988675,-0.143314785,6.2995487,0.007448775,1.419,0.038
11/28/2021,1.827,-0.044,0.046,-0.66,1.356,-0.0845,0.0674583,1.14,-0.0251,0.109825988,0.053,0,0.008099383,-0.0274,1.244553125,0.071628195,5.472054537,3.423284978,0.495296303,6.26369003,-0.03585867,1.303,-0.012
11/21/2021,1.911,-0.014,0.137,0.17,1.482,-0.0428,0.085961813,1.1693,-0.0439,0.132685628,0.053,0.0392,0.008723531,-0.048,1.250052317,0.597990006,3.921509208,3.354105809,-0.069179169,6.291435427,0.027745397,1.429,-0.022
11/14/2021,1.938,0.027,0.117,1.09,1.548,-0.014,0.102440443,1.223,-0.0037,0.146081919,0.051,-0.0377,0.008656404,-0.0216,1.343274738,0.099447446,1.974436453,2.885359216,-0.468746593,6.340593315,0.049157888,1.497,0.003
11/7/2021,1.888,-0.027,0.056,0.37,1.57,0.0791,0.113298034,1.2276,0.1631,0.15002369,0.053,0.1522,0.008451824,-0.0011,1.388991926,-0.011529066,2.226582839,2.790551484,-0.094807732,6.362380825,0.02178751,1.517,-0.003
10/31/2021,1.939,-0.064,0.041,-0.27,1.455,-0.068,0.125348625,1.0555,-0.1091,0.160084922,0.046,-0.2069,0.008656404,-0.0135,1.415510814,0.013530135,2.216559991,2.802147524,0.01159604,6.363483,0.001102175,1.409,0.02
10/24/2021,2.071,0.013,0.056,0,1.561,-0.0469,0.136065711,1.1848,-0.0132,0.1504922,0.058,-0.0492,0.008116513,-0.0031,1.488382409,0.053791316,2.22370604,2.788708104,-0.01343942,6.377083007,0.013600007,1.503,0.013
10/17/2021,2.046,-0.055,0.056,0.37,1.638,0.0406,0.122536344,1.2006,0.0682,0.123271165,0.061,0.2708,0.006896859,-0.0028,1.448054799,-0.053374175,2.139122802,2.736313666,-0.052394438,6.380219651,0.003136644,1.577,0.016
10/10/2021,2.165,0.065,0.041,1.28,1.574,-0.0236,0.108417147,1.1239,0.064,0.095446516,0.048,-0.0588,0.007042727,0.0257,1.357331599,-0.131593021,2.136203727,2.791165046,0.05485138,6.383043521,0.00282387,1.526,0.018
10/3/2021,2.033,0.024,0.018,-0.76,1.612,0.1002,0.077616507,1.0563,0.1363,0.076809247,0.051,0.3421,0.006871034,0.0266,1.25424623,-0.11042654,2.151878851,2.932259851,0.141094804,6.357629246,-0.025414275,1.561,0.008
9/26/2021,1.985,0.043,0.074,0.17,1.465,0.0085,0.063312716,0.9296,-0.0199,0.071841613,0.038,0.0857,0.006380526,0.0222,1.168320875,0.188732394,2.143721922,3.04927304,0.11701319,6.331340983,-0.026288263,1.427,-0.022
9/19/2021,1.903,-0.016,0.063,0.13,1.453,0.0655,0.040501852,0.9485,0.1009,0.047596611,0.035,-0.0789,0.004743416,0.0202,1.111630909,-0.147044649,1.893869946,2.876385516,-0.172887525,6.309415061,-0.021925922,1.418,0.005
9/12/2021,1.934,-0.006,0.056,0.06,1.363,0.0153,0.040155254,0.8616,0.0559,0.038012331,0.038,-0.2083,0.003162278,0.014,1.094146862,-0.006682673,1.905089432,3.035433592,0.159048076,6.289441879,-0.019973182,1.325,-0.006
9/5/2021,1.946,0.013,0.053,0.51,1.343,0.0129,0.056984988,0.816,0.0391,0.045372797,0.048,0.0435,0.003093003,-0.0008,1.121232862,0.276660634,1.654951107,3.042138694,0.006705102,6.275562078,-0.013879801,1.295,-0.017
8/29/2021,1.921,0.027,0.035,0,1.326,0.0117,0.089266393,0.7853,-0.0197,0.065635258,0.046,-0.1321,0.002788867,0.0052,1.119505754,0.001220317,1.247005364,2.797890905,-0.244247789,6.276404739,0.000842661,1.28,0.006
8/22/2021,1.871,-0.032,0.035,-0.19,1.31,0.0441,0.096006308,0.8011,0.0226,0.071189295,0.053,0,0.004104198,0.0701,1.12582068,-0.11691811,1.29909761,2.796671332,-0.001219573,6.271175749,-0.00522899,1.257,0.015
8/15/2021,1.933,-0.01,0.043,0.05,1.255,-0.0221,0.096843287,0.7834,0.0091,0.073112614,0.053,0,0.007846443,-0.0578,0.852267897,0.201294434,1.794063263,2.921008673,0.124337342,6.203404168,-0.067771581,1.202,-0.006
8/8/2021,1.953,0.031,0.041,0,1.283,-0.0168,0.110222805,0.7763,0.0028,0.073020682,0.053,0.0392,0.011343133,0.0046,0.837936538,-0.043343653,1.77804204,2.737609003,-0.18339967,6.262911859,0.05950769,1.23,0.007
8/1/2021,1.895,-0.015,0.041,-0.11,1.305,0.065,0.121093903,0.7741,0.1162,0.072743366,0.051,0.1087,0.01462722,-0.0347,0.868514449,-0.114583333,1.717329027,2.78192005,0.044311046,6.258315462,-0.004596396,1.254,0.009
7/25/2021,1.923,-0.003,0.046,0,1.226,-0.0435,0.11696177,0.6935,-0.0279,0.063639042,0.046,-0.098,0.018144176,0.0162,0.993406089,0.060465055,1.695743053,2.903616985,0.121696935,6.293657698,0.035342235,1.18,-0.004
7/18/2021,1.928,-0.031,0.046,0,1.281,-0.0146,0.111733264,0.7134,-0.0871,0.054378117,0.051,0.1087,0.019014614,0.0082,1.017362611,-0.067750674,1.937616215,2.844909442,-0.058707543,6.277551536,-0.016106162,1.23,0.02
7/11/2021,1.99,-0.027,0.046,-0.1,1.3,-0.0447,0.09182931,0.7815,-0.0065,0.054975869,0.046,-0.1321,0.019005555,-0.0067,1.017175217,0.140296724,2.001602023,2.915064425,0.070154983,6.269426532,-0.008125003,1.254,-0.01
7/4/2021,2.045,-0.049,0.051,0,1.361,-0.0485,0.078501309,0.7866,-0.0843,0.05467535,0.053,0.0392,0.017521098,-0.0179,1.069851482,0.073656271,1.974353699,2.783775912,-0.131288513,6.276189063,0.006762531,1.308,0.004
6/27/2021,2.151,0.067,0.051,0,1.431,-0.0613,0.067451135,0.859,-0.0711,0.053238425,0.051,-0.0377,0.014942854,0.0217,1.108125369,-0.035211268,1.983699254,2.712706013,-0.071069899,6.294262915,0.018073853,1.38,0.017
6/20/2021,2.017,-0.059,0.051,0.11,1.524,0.0561,0.066971055,0.9247,0.0554,0.039349353,0.053,0.2927,0.010154911,0.0191,1.175494924,-0.245410664,1.803202204,2.748552144,0.035846132,6.272811533,-0.021451383,1.471,0.027
6/13/2021,2.142,-0.04,0.046,4.75,1.443,-0.0072,0.057952471,0.8762,0.1783,0.037529498,0.041,0.4643,0.006346478,-0.0225,1.298696919,0.32268377,1.73310939,3.030133749,0.281581604,6.253889579,-0.018921954,1.402,-0.019
6/6/2021,2.232,-0.014,0.008,0.6,1.454,-0.0664,0.041247896,0.7436,-0.0472,0.040875781,0.028,0.4,0.004981756,-0.0032,1.318947489,-0.046894032,1.404035336,2.750470917,-0.279662832,6.276690669,0.02280109,1.426,0.004
5/30/2021,2.263,-0.024,0.005,0,1.557,-0.0151,0.04160876,0.7804,-0.01,0.039069569,0.02,0.5385,0.004981756,0.0279,1.292613056,-0.020286396,1.274407764,2.798500104,0.048029187,6.279908454,0.003217786,1.537,0.006
5/23/2021,2.318,-0.012,0.005,0,1.581,-0.0262,0.051511487,0.7883,-0.0401,0.038728091,0.013,1.6,0.005183746,0.0253,1.279978242,-0.168238213,1.277382636,2.818995095,0.020494991,6.252342708,-0.027565746,1.568,0.012
5/16/2021,2.347,0.029,0.005,0,1.623,-0.0073,0.051463148,0.8212,0.0043,0.037930287,0.005,-0.5,0.00608131,-0.0167,1.26580471,0.07123876,1.570789279,3.003204288,0.184209193,6.227328056,-0.025014652,1.618,-0.004
5/9/2021,2.281,-0.008,0.005,-0.5,1.635,0.0357,0.054669207,0.8177,0.0563,0.039377637,0.01,-0.3333,0.008500725,-0.0154,1.217007785,0.127022042,1.653632202,2.93438859,-0.068815698,6.244160881,0.016832826,1.625,-0.014
5/2/2021,2.298,0.028,0.01,0,1.579,-0.029,0.088754405,0.7741,-0.0885,0.049415123,0.015,0.1538,0.010608178,0.034,1.065337956,-0.103170333,2.631054696,2.814809798,-0.119578793,6.259638633,0.015477751,1.564,0.012
4/25/2021,2.235,-0.02,0.01,-0.23,1.626,0.0426,0.123232436,0.8493,0.0403,0.096298977,0.013,-0.35,0.010538822,0.0238,0.98236095,0.073860415,3.782394426,2.923699124,0.108889327,6.226248485,-0.033390147,1.613,0
4/18/2021,2.281,-0.024,0.013,0.3,1.559,-0.0194,0.171119711,0.8164,-0.0248,0.139506965,0.02,0.1111,0.011617233,0.011,0.986294837,0.066461538,3.805163801,2.852439104,-0.071260021,6.202738533,-0.023509952,1.539,-0.001
4/11/2021,2.336,0.001,0.01,-0.23,1.59,-0.0431,0.207729552,0.8372,-0.0331,0.169081901,0.018,0.3846,0.011373659,0.0373,1.082711138,-0.02636315,3.667139409,2.788092909,-0.064346195,6.191797504,-0.010941029,1.572,0.014
4/4/2021,2.334,-0.019,0.013,-0.36,1.662,-0.0066,0.240174104,0.8659,-0.0443,0.189692602,0.013,-0.3596,0.013511481,-0.0061,1.261000134,-0.036930121,3.3433443,2.814809798,0.026716889,6.155188825,-0.036608679,1.649,0.027
3/28/2021,2.379,-0.024,0.0203,0.35,1.673,-0.0007,0.250476191,0.906,0.0491,0.191429824,0.0203,0.015,0.01920677,0,1.35279671,-0.081124121,4.728541691,2.852439104,0.037629306,6.16125732,0.006068496,1.6527,0.011
3/21/2021,2.437,0.025,0.015,0.5,1.674,-0.0322,0.244960224,0.8636,-0.0265,0.185043925,0.02,1,0.022202102,-0.0023,1.390638857,-0.099761332,4.364666158,2.93704333,0.084604227,6.161237701,-1.96E-05,1.654,0.016
3/14/2021,2.378,0.03,0.01,-0.6,1.73,0.0648,0.207493748,0.8871,0.0539,0.16028587,0.01,-0.6667,0.022125902,-0.0348,1.416880803,0.012566457,4.109741304,3.042138694,0.105095364,6.163527834,0.002290133,1.72,-0.008
