Date,MPRIME,MPRIMEpct,MPRIMEstd,SP500VIX,VIXlog,VIXlog_return,VIXpct,VIXstd,RealGDPpct,RealGDPstd,UNRATEpct,UNRATEstd,incomepct,incomelog_std,CPIindx,CPIpct,CPIstd,bond10,bond10pct,bond10std,bond5,bond5pct,bond5std,bond3,bond3pct,bond3std,b30ret,b30ind,b10ret,b10ind,b5ret,b5ind,b1ret,b1ind,risk free,SP500,SP500log_std,yield_diff
3/1/2022,3.37,0.036923077,0.037947332,26.97,3.023347392,-0.382837531,-0.318076318,3.413302041,,,3.6,0.514830069,,,,,,2.415,0.326,0.184314616,2.4287,0.4179,0.350579172,0.538,0.6708,0.094805063,,,,,,,,,,4511.61,2.230278507,1.877
2/1/2022,3.25,0,0,25.75,3.406184923,0.194132324,0.214256947,3.530415095,-0.000505306,0.222850224,3.8,0.527494076,-0.001823946,2.545501517,,,,1.822,0.0212,0.157158837,1.7129,0.061,0.284712938,0.322,0.7405,0.048278014,,,,,,,,,,4373.79,2.278663856,1.5
1/1/2022,3.25,0,0,23.18,3.2120526,0.365981159,0.441928074,2.728991122,0.000505561,0.300053699,4,0.535770473,-0.004280896,2.710169078,,0.841457378,0.184936332,1.784,0.1799,0.149485822,1.6144,0.2782,0.193522996,0.185,2.4906,0.016696307,,,,,,,,,,4515.55,2.373972331,1.599
12/1/2021,3.25,0,0,21.35,2.846071441,-0.456777854,-0.366678986,2.41994443,-0.005530417,0.287510386,3.9,0.522541864,-0.002587768,3.36069864,656,0.307251716,0.178217705,1.512,0.0382,0.152004971,1.263,0.0816,0.170469853,0.053,0,0.015986453,-0.023094,3581.857,-0.00475,2809.439,-0.004267,2320.099,-0.001374,1349.204,0.050695582,4766.18,2.408573068,1.459
11/1/2021,3.25,0,0,18.5,3.302849295,0.514141191,0.672201784,3.03653142,0.015832482,0.297246624,4.2,0.467974358,-0.001636238,3.356905031,654,0.49134275,0.166395015,1.456,-0.0671,0.201402885,1.1677,-0.0144,0.199498889,0.053,-0.0862,0.016585134,0.032451,3666.532,0.012455,2822.848,0.002938,2330.041,-0.000465,1351.06,0.045627598,4567,2.465207394,1.403
10/1/2021,3.25,0,0,17.87,2.788708104,-0.352854574,-0.297320627,3.877799928,0.00307377,0.313547799,4.6,0.415692194,-0.00174085,3.364963928,650.8,0.830811855,0.169290034,1.561,0.0458,0.256927919,1.1848,0.2198,0.204336982,0.058,0.5263,0.020287106,0.026981,3551.289,-0.004896,2788.122,-0.00802,2323.216,-0.000689,1351.689,0.081113825,4605.38,2.454358382,1.503
9/1/2021,3.25,0,0,19.82,3.141562679,0.339415154,0.404126153,3.759209055,0.009307135,0.291555217,4.7,0.396295344,-0.016445769,3.365646546,645.4,0.271597086,0.190399997,1.492,0.1418,0.304356808,0.9713,0.2525,0.218479102,0.038,-0.1739,0.023968498,-0.023236,3457.989,-0.015425,2801.84,-0.007415,2341.999,0.000279,1352.621,0.065908225,4307.54,2.497674742,1.454
8/1/2021,3.25,0,0,17.47,2.802147524,-0.10146946,-0.096491228,3.733191458,-0.003606388,0.292832906,5.2,0.333241654,-0.001287789,3.367782384,643.7,0.206591136,0.223126466,1.307,0.0665,0.335436117,0.7755,0.1182,0.23422639,0.046,0,0.028632538,-0.004704,3540.25,-0.004837,2845.735,-0.002647,2359.494,-0.000238,1352.244,0.050695582,4522.68,2.546064204,1.261
7/1/2021,3.25,0,0,17.6,2.903616985,0.141710111,0.152242577,5.014806879,0.002582645,0.293304923,5.4,0.316227766,0.008151538,3.370149709,642.4,0.481052353,0.236180103,1.226,-0.1651,0.384210084,0.6935,-0.2217,0.259578421,0.046,0,0.032125449,0.044448,3556.982,0.023829,2859.567,0.010194,2365.756,0.000434,1352.566,0.055767755,4395.26,2.542675662,1.18
6/1/2021,3.25,0,0,16.96,2.761906874,-0.057088221,-0.05548926,4.914629448,0.000516796,0.315305848,5.9,0.425734659,-0.004470718,3.371333709,639.3,0.92906629,0.24691199,1.468,-0.0713,0.404896434,0.891,0.1303,0.256862739,0.046,2.5385,0.035777709,0.045272,3405.61,0.014084,2793.012,-0.001558,2341.883,-0.000281,1351.979,0.045625924,4297.5,2.501149598,1.422
5/1/2021,3.25,0,0,19.76,2.818995095,-0.104704029,-0.099408968,4.540443843,0.004672897,0.33259251,5.8,0.570087713,-0.029707448,3.372032886,633.4,0.801710515,0.219528149,1.581,-0.0278,0.41509256,0.7883,-0.0718,0.259614016,0.013,0,0.032908121,0.002703,3258.108,0.003441,2754.222,0.003167,2345.538,0.000263,1352.359,0.038022643,4204.11,2.480092627,1.568
4/1/2021,3.25,0,0,17.42,2.923699124,-0.041573942,-0.040721598,4.116341846,0.024468085,0.544268112,6,0.894538987,-0.15549421,3.368300271,628.4,0.821890915,0.199386133,1.626,-0.0677,0.37424147,0.8493,-0.0943,0.23009684,0.013,-0.4348,0.035012537,0.027124,3249.326,0.011851,2744.777,0.005763,2338.133,0.000144,1352.003,0.040556242,4181.17,2.450351993,1.613
3/1/2021,3.25,0,0,21.84,2.965273066,-0.365144169,-0.305903424,3.844019094,-0.016221873,0.842000924,6,1.164130577,0.229680395,3.368407263,623.2,0.708327313,0.174047332,1.744,0.2399,0.255061735,0.9377,0.285,0.144414587,0.023,-0.439,0.032930229,-0.054127,3163.518,-0.029342,2712.63,-0.008277,2324.735,0.0004,1351.809,0.055767798,3972.89,2.440582025,1.721
2/1/2021,3.25,0,0,23.14,3.330417235,-0.168813887,-0.155333908,3.40840611,0.02356722,0.791471204,6.2,1.583414033,-0.084800406,3.021016493,618.9,0.547438279,0.160508515,1.407,0.3138,0.161769555,0.7297,0.7145,0.065554727,0.041,-0.2931,0.02728064,-0.072436,3344.549,-0.025385,2794.63,-0.012922,2344.138,-0.000185,1351.268,0.055765263,3811.15,2.46148413,1.366
1/1/2021,3.25,0,0,24.91,3.499231122,0.374665977,0.454505495,3.669783828,-0.002137894,0.861848143,6.4,1.980517609,0.103685493,3.118533741,615.5,0.425378349,0.238405963,1.071,0.1681,0.120100698,0.4256,0.1796,0.058335429,0.058,-0.2658,0.02441789,-0.038203,3605.734,-0.010713,2867.419,-0.002329,2374.825,0.000107,1351.518,0.04816259,3714.24,2.541860308,1.013
12/1/2020,3.25,0,0.167600716,22.37,3.124565145,0.100731442,0.105979582,6.475072027,-0.011621764,0.904547155,6.7,2.15973378,0.001858053,3.117996074,612.9,0.094147847,0.238145004,0.916,0.0882,0.177149936,0.3608,-0.0085,0.209085122,0.079,-0.0247,0.371951923,-0.019274,3748.955,-0.004965,2898.47,0.000855,2380.369,0.000297,1351.374,0.03548671,3756.07,2.486614143,0.837
11/1/2020,3.25,0,0.485204424,25,3.023833704,-0.614278633,-0.458968964,6.493945952,0.00798722,0.930378656,6.7,2.421662652,-0.013049875,3.136666027,612.3,-0.061062722,0.242090964,0.842,-0.0361,0.299899539,0.3639,-0.0533,0.362010876,0.081,-0.1383,0.554170491,0.02261,3822.632,0.004016,2912.933,0.001938,2378.336,0.00052,1350.972,0.035487695,3621.63,2.420271813,0.761
10/1/2020,3.25,0,0.626703013,29.44,3.638112337,0.365885299,0.441789858,6.65661818,0.010764263,0.962609878,6.9,2.638569688,-0.004985997,3.157965679,612.7,0.041493776,0.246978494,0.874,0.2742,0.462806907,0.3844,0.3807,0.525574077,0.094,-0.0208,0.65525615,-0.046765,3738.114,-0.01731,2901.282,-0.004806,2373.735,-0.000086,1350.27,0.005069467,3269.96,2.416701148,0.78
