Date,avg_ret,regime
3/1/2022,0.97930606,1
2/1/2022,-1.670076799,1
1/1/2022,-8.307400426,0
12/1/2021,2.016621088,1
11/1/2021,-1.940657424,1
10/1/2021,6.014336353,2
9/1/2021,-4.299268085,0
8/1/2021,2.971413444,1
7/1/2021,-0.389389663,1
6/1/2021,3.311814127,2
5/1/2021,-0.400531062,1
4/1/2021,4.190188918,2
3/1/2021,1.447371593,1
2/1/2021,3.299650891,2
1/1/2021,2.087961295,1
12/1/2020,6.148468,2
11/1/2020,14.09476007,2
10/1/2020,-0.813480792,1
9/1/2020,-4.113133319,0
8/1/2020,7.439648198,2
7/1/2020,5.036057393,2
6/1/2020,3.888195244,2
5/1/2020,6.144138136,2
4/1/2020,14.16393945,2
3/1/2020,-15.34924158,0
2/1/2020,-7.722065721,0
1/1/2020,-0.473689582,1
12/1/2019,2.979682452,1
11/1/2019,3.987165262,2
10/1/2019,2.728170304,1
9/1/2019,1.263963185,1
8/1/2019,-3.38027732,0
7/1/2019,1.334417454,1
6/1/2019,7.003626288,2
5/1/2019,-7.514898075,0
4/1/2019,3.994901441,2
3/1/2019,0.532565098,1
2/1/2019,3.925149246,2
1/1/2019,9.879696618,2
12/1/2018,-10.33965046,0
11/1/2018,1.152017318,1
10/1/2018,-9.215755382,0
9/1/2018,-1.121926647,1
8/1/2018,4.411203978,2
7/1/2018,2.337774125,1
6/1/2018,0.705917079,1
5/1/2018,4.600879001,2
4/1/2018,0.418694463,1
3/1/2018,-1.423547032,1
2/1/2018,-3.223602566,0
1/1/2018,5.041112613,2
12/1/2017,0.321048174,1
11/1/2017,2.561264191,1
10/1/2017,2.119359687,1
9/1/2017,3.126418109,2
8/1/2017,-0.076944085,1
7/1/2017,1.958668326,1
6/1/2017,1.037609275,1
5/1/2017,0.330690951,1
4/1/2017,1.458589537,1
3/1/2017,0.495767967,1
2/1/2017,2.92498987,1
1/1/2017,2.149291457,1
12/1/2016,1.87952878,1
11/1/2016,5.915244422,2
10/1/2016,-3.120169464,0
9/1/2016,0.97003766,1
8/1/2016,0.895225532,1
7/1/2016,5.451562049,2
6/1/2016,-0.777529787,1
5/1/2016,2.416105511,1
4/1/2016,0.097219657,1
3/1/2016,7.147105516,2
2/1/2016,-0.556067658,1
1/1/2016,-7.524124648,0
12/1/2015,-3.146957021,0
11/1/2015,1.417698514,1
10/1/2015,7.514328303,2
9/1/2015,-3.875895588,0
8/1/2015,-6.488186388,0
7/1/2015,1.055634074,1
6/1/2015,-0.974193108,1
5/1/2015,1.929797809,1
4/1/2015,-0.461555031,1
3/1/2015,-0.293246458,1
2/1/2015,6.128402689,2
1/1/2015,-2.734632957,1
12/1/2014,0.413406156,1
11/1/2014,1.894156218,1
10/1/2014,3.989084787,2
9/1/2014,-3.438080747,0
8/1/2014,4.565196134,2
7/1/2014,-3.049185506,0
6/1/2014,3.861052459,2
5/1/2014,1.912270718,1
4/1/2014,-2.042798501,1
3/1/2014,-1.043685613,1
2/1/2014,4.664428931,2
1/1/2014,-2.534985043,1
12/1/2013,2.438373898,1
11/1/2013,3.360026003,2
10/1/2013,3.480608292,2
9/1/2013,4.970949134,2
8/1/2013,-2.434223986,1
7/1/2013,6.258944023,2
6/1/2013,-1.160218878,1
5/1/2013,3.251559221,2
4/1/2013,1.016531422,1
3/1/2013,3.871602399,2
2/1/2013,0.881389569,1
1/1/2013,5.266598305,2
12/1/2012,1.545163356,1
11/1/2012,0.668641992,1
10/1/2012,-2.832592442,1
9/1/2012,2.401916006,1
8/1/2012,3.230380814,2
7/1/2012,-0.169697076,1
6/1/2012,4.131072966,2
5/1/2012,-6.797421443,0
4/1/2012,-1.286952697,1
3/1/2012,3.134102899,2
2/1/2012,3.926769529,2
1/1/2012,6.646533068,2
12/1/2011,0.190069367,1
11/1/2011,-1.186533927,1
10/1/2011,12.52382059,2
9/1/2011,-8.540013747,0
8/1/2011,-7.13265372,0
7/1/2011,-2.195079877,1
6/1/2011,-2.162928307,1
5/1/2011,-1.576337521,1
4/1/2011,2.898969307,1
3/1/2011,0.86818171,1
2/1/2011,3.928382359,2
1/1/2011,1.13296795,1
12/1/2010,6.837255121,2
11/1/2010,1.137974659,1
10/1/2010,4.593713854,2
9/1/2010,11.20485856,2
8/1/2010,-6.214934973,0
7/1/2010,6.857940347,2
6/1/2010,-6.677953263,0
5/1/2010,-8.023809941,0
4/1/2010,3.438962286,2
3/1/2010,7.089720242,2
2/1/2010,3.958975782,2
1/1/2010,-4.18042276,0
12/1/2009,5.576022537,2
11/1/2009,4.352176553,2
10/1/2009,-4.386057364,0
9/1/2009,5.129983989,2
8/1/2009,2.595895783,1
7/1/2009,8.363893982,2
6/1/2009,1.656043911,1
5/1/2009,3.723033816,2
4/1/2009,12.71541472,2
3/1/2009,9.387831066,2
2/1/2009,-9.76805942,0
1/1/2009,-8.61542187,0
12/1/2008,3.282528181,2
11/1/2008,-10.39280169,0
10/1/2008,-18.79219795,0
9/1/2008,-9.754169483,0
8/1/2008,2.224182015,1
7/1/2008,1.352117823,1
6/1/2008,-8.421242132,0
5/1/2008,3.654182933,2
4/1/2008,4.970213204,2
3/1/2008,-0.108274671,1
2/1/2008,-3.975559485,0
1/1/2008,-7.668481826,0
12/1/2007,-0.436718804,1
11/1/2007,-6.310998433,0
10/1/2007,3.554464645,2
9/1/2007,3.033801054,2
8/1/2007,1.749374522,1
7/1/2007,-4.188600098,0
6/1/2007,-1.089101506,1
5/1/2007,3.519511071,2
4/1/2007,3.257277252,2
3/1/2007,0.708621445,1
2/1/2007,-1.536701948,1
1/1/2007,1.849351906,1
12/1/2006,0.171960983,1
11/1/2006,2.447713315,1
10/1/2006,4.699778285,2
9/1/2006,2.097284267,1
8/1/2006,3.132103288,2
7/1/2006,-2.500887617,1
6/1/2006,0.085059365,1
5/1/2006,-5.06253253,0
4/1/2006,0.046504067,1
3/1/2006,3.028716114,2
2/1/2006,-0.550250497,1
1/1/2006,5.64972515,2
12/1/2005,-0.622109455,1
11/1/2005,4.617944753,2
10/1/2005,-2.15703921,1
9/1/2005,0.255116114,1
8/1/2005,-1.536222858,1
7/1/2005,5.519877921,2
6/1/2005,1.310450376,1
5/1/2005,5.934728185,2
4/1/2005,-4.014609938,0
3/1/2005,-2.483892958,1
2/1/2005,0.996010331,1
1/1/2005,-4.056219156,0
12/1/2004,3.346229573,2
11/1/2004,6.414292004,2
10/1/2004,2.535291283,1
9/1/2004,3.13504819,2
8/1/2004,-1.018648707,1
7/1/2004,-6.186982628,0
6/1/2004,3.035900303,2
5/1/2004,2.07073924,1
4/1/2004,-3.702968619,0
3/1/2004,-0.712415058,1
2/1/2004,0.123656574,1
1/1/2004,3.180668302,2
12/1/2003,2.808017139,1
11/1/2003,2.054416157,1
10/1/2003,7.466484087,2
9/1/2003,-1.497955131,1
8/1/2003,3.699020027,2
7/1/2003,5.119817891,2
6/1/2003,1.565367602,1
5/1/2003,8.514153623,2
4/1/2003,8.873597549,2
3/1/2003,0.79403618,1
2/1/2003,-1.249788419,1
1/1/2003,-2.186023031,1
12/1/2002,-7.034708937,0
11/1/2002,8.61945816,2
10/1/2002,8.020860083,2
9/1/2002,-9.457178544,0
8/1/2002,-0.317035761,1
7/1/2002,-10.8584653,0
6/1/2002,-7.227272172,0
5/1/2002,-3.384222437,0
4/1/2002,-4.214629113,0
3/1/2002,6.255351785,2
2/1/2002,-5.170226546,0
1/1/2002,-1.093376015,1
12/1/2001,2.905296111,1
11/1/2001,9.778777832,2
10/1/2001,6.99038385,2
9/1/2001,-13.21048639,0
8/1/2001,-6.82301285,0
7/1/2001,-4.450277325,0
6/1/2001,1.291063682,1
5/1/2001,0.960363266,1
4/1/2001,10.28638987,2
3/1/2001,-8.775660317,0
2/1/2001,-12.8746156,0
1/1/2001,7.034834346,2
12/1/2000,1.730687594,1
11/1/2000,-14.45007328,0
10/1/2000,-4.997525571,0
9/1/2000,-6.808002169,0
8/1/2000,8.742832232,2
7/1/2000,-3.4480573,0
6/1/2000,9.857477335,2
5/1/2000,-7.152496678,0
4/1/2000,-8.981063304,0
3/1/2000,-1.170258917,1
2/1/2000,12.57790616,2
1/1/2000,-3.023644063,0
12/1/1999,13.53671813,2
11/1/1999,7.210723107,2
10/1/1999,4.871466814,2
9/1/1999,-0.867537538,1
8/1/1999,-0.398995647,1
7/1/1999,-2.574364577,1
6/1/1999,6.041661384,2
5/1/1999,-1.264613734,1
4/1/1999,5.62304665,2
3/1/1999,4.227242975,2
2/1/1999,-6.873035313,0
1/1/1999,6.376227941,2
12/1/1998,8.275118321,2
11/1/1998,7.132562803,2
10/1/1998,5.306133116,2
9/1/1998,8.984190958,2
8/1/1998,-18.367532,0
7/1/1998,-3.89698324,0
6/1/1998,3.356728964,2
5/1/1998,-4.33901184,0
4/1/1998,1.112502077,1
3/1/1998,4.214034308,2
2/1/1998,7.949979149,2
1/1/1998,0.661440818,1
12/1/1997,0.489440427,1
11/1/1997,0.93039351,1
10/1/1997,-4.474578973,0
9/1/1997,6.379122758,2
8/1/1997,-0.713093824,1
7/1/1997,7.549482058,2
6/1/1997,3.846441435,2
5/1/1997,9.661099139,2
4/1/1997,2.521446511,1
3/1/1997,-5.367496792,0
2/1/1997,-2.631676035,1
1/1/1997,4.670135541,2
12/1/1996,0.330293257,1
11/1/1996,5.410190005,2
10/1/1996,-0.284911274,1
9/1/1996,5.46143888,2
8/1/1996,4.762744835,2
7/1/1996,-7.72485954,0
6/1/1996,-3.292113165,0
5/1/1996,3.611939306,2
4/1/1996,5.241419455,2
3/1/1996,0.949918106,1
2/1/1996,2.787741156,1
1/1/1996,1.031327737,1
12/1/1995,1.062723817,1
11/1/1995,3.462168811,2
10/1/1995,-2.133923034,1
9/1/1995,2.535016647,1
8/1/1995,1.493173035,1
7/1/1995,5.638626466,2
6/1/1995,5.306758677,2
5/1/1995,2.36316614,1
4/1/1995,2.564443165,1
3/1/1995,2.340230988,1
2/1/1995,4.254715158,2
1/1/1995,0.34272505,1
12/1/1994,1.278148215,1
11/1/1994,-3.881913298,0
10/1/1994,0.927276292,1
9/1/1994,-0.922670172,1
8/1/1994,5.189974705,2
7/1/1994,2.232704544,1
6/1/1994,-3.487150626,0
5/1/1994,-0.141863396,1
4/1/1994,0.043413964,1
3/1/1994,-5.451642512,0
2/1/1994,-1.287147285,1
1/1/1994,3.041526916,2
12/1/1993,2.617281879,1
11/1/1993,-2.826273091,1
10/1/1993,2.054931727,1
9/1/1993,1.814929943,1
8/1/1993,4.360213969,2
7/1/1993,0.432647046,1
6/1/1993,0.412023878,1
5/1/1993,4.340105788,2
4/1/1993,-3.297715881,0
3/1/1993,2.759731909,1
2/1/1993,-2.009793246,1
1/1/1993,2.390716991,1
12/1/1992,2.882860851,1
11/1/1992,6.391897721,2
10/1/1992,2.647957618,1
9/1/1992,2.249438032,1
8/1/1992,-2.841654324,1
7/1/1992,3.409897878,2
6/1/1992,-3.661169434,0
5/1/1992,0.872185347,1
