Date,SP500
12/1/2021,4766.18
11/1/2021,4567
10/1/2021,4605.38
9/1/2021,4307.54
8/1/2021,4522.68
7/1/2021,4395.26
6/1/2021,4297.5
5/1/2021,4204.11
4/1/2021,4181.17
3/1/2021,3972.89
2/1/2021,3811.15
1/1/2021,3714.24
12/1/2020,3756.07
11/1/2020,3621.63
10/1/2020,3269.96
9/1/2020,3363
8/1/2020,3500.31
7/1/2020,3271.12
6/1/2020,3100.29
5/1/2020,3044.31
4/1/2020,2912.43
3/1/2020,2584.59
2/1/2020,2954.22
1/1/2020,3225.52
12/1/2019,3230.78
11/1/2019,3140.98
10/1/2019,3037.56
9/1/2019,2976.74
8/1/2019,2926.46
7/1/2019,2980.38
6/1/2019,2941.76
5/1/2019,2752.06
4/1/2019,2945.83
3/1/2019,2834.4
2/1/2019,2784.49
1/1/2019,2704.1
12/1/2018,2506.85
11/1/2018,2760.17
10/1/2018,2711.74
9/1/2018,2913.98
8/1/2018,2901.52
7/1/2018,2816.29
6/1/2018,2718.37
5/1/2018,2705.27
4/1/2018,2648.05
3/1/2018,2640.87
2/1/2018,2713.83
1/1/2018,2823.81
12/1/2017,2673.61
11/1/2017,2647.58
10/1/2017,2575.26
9/1/2017,2519.36
8/1/2017,2471.65
7/1/2017,2470.3
6/1/2017,2423.41
5/1/2017,2411.8
4/1/2017,2384.2
3/1/2017,2362.72
2/1/2017,2363.64
1/1/2017,2278.87
12/1/2016,2238.83
11/1/2016,2198.81
10/1/2016,2126.15
9/1/2016,2168.27
8/1/2016,2170.95
7/1/2016,2173.6
6/1/2016,2098.86
5/1/2016,2096.96
4/1/2016,2065.3
3/1/2016,2059.74
2/1/2016,1932.23
1/1/2016,1940.24
12/1/2015,2043.94
11/1/2015,2080.41
10/1/2015,2079.36
9/1/2015,1920.03
8/1/2015,1972.18
7/1/2015,2103.84
6/1/2015,2063.11
5/1/2015,2107.39
4/1/2015,2085.51
3/1/2015,2067.89
2/1/2015,2104.5
1/1/2015,1994.99
12/1/2014,2058.9
11/1/2014,2067.56
10/1/2014,2018.05
9/1/2014,1972.29
8/1/2014,2003.37
7/1/2014,1930.67
6/1/2014,1960.23
5/1/2014,1923.57
4/1/2014,1883.95
3/1/2014,1872.34
2/1/2014,1859.45
1/1/2014,1782.59
12/1/2013,1848.36
11/1/2013,1805.81
10/1/2013,1756.54
9/1/2013,1681.55
8/1/2013,1632.97
7/1/2013,1685.73
6/1/2013,1606.28
5/1/2013,1630.74
4/1/2013,1597.57
3/1/2013,1569.19
2/1/2013,1514.68
1/1/2013,1498.11
12/1/2012,1426.19
11/1/2012,1416.18
10/1/2012,1412.16
9/1/2012,1440.67
8/1/2012,1406.58
7/1/2012,1379.32
6/1/2012,1362.16
5/1/2012,1310.33
4/1/2012,1397.91
3/1/2012,1408.47
2/1/2012,1365.68
1/1/2012,1312.41
12/1/2011,1257.6
11/1/2011,1246.96
10/1/2011,1253.3
9/1/2011,1131.42
8/1/2011,1218.89
7/1/2011,1292.28
6/1/2011,1320.64
5/1/2011,1345.2
4/1/2011,1363.61
3/1/2011,1325.83
2/1/2011,1327.22
1/1/2011,1286.12
12/1/2010,1257.64
11/1/2010,1180.55
10/1/2010,1183.26
9/1/2010,1141.2
8/1/2010,1049.33
7/1/2010,1101.6
6/1/2010,1030.71
5/1/2010,1089.41
4/1/2010,1186.69
3/1/2010,1169.43
2/1/2010,1104.49
1/1/2010,1073.87
12/1/2009,1115.1
11/1/2009,1095.63
10/1/2009,1036.19
9/1/2009,1057.08
