Date,SP500
12/26/2021,4766.18
12/19/2021,4725.78
12/12/2021,4620.64
12/5/2021,4712.02
11/28/2021,4538.43
11/21/2021,4594.62
11/14/2021,4697.96
11/7/2021,4682.85
10/31/2021,4697.53
10/24/2021,4605.38
10/17/2021,4544.9
10/10/2021,4471.37
10/3/2021,4391.36
9/26/2021,4357.05
9/19/2021,4455.48
9/12/2021,4432.99
9/5/2021,4458.58
8/29/2021,4535.43
8/22/2021,4509.37
8/15/2021,4441.67
8/8/2021,4468
8/1/2021,4436.52
7/25/2021,4395.26
7/18/2021,4411.8
7/11/2021,4327.16
7/4/2021,4369.55
6/27/2021,4352.34
6/20/2021,4280.7
6/13/2021,4166.45
6/6/2021,4247.44
5/30/2021,4229.89
5/23/2021,4204.11
5/16/2021,4155.86
5/9/2021,4173.85
5/2/2021,4232.6
4/25/2021,4181.17
4/18/2021,4180.17
4/11/2021,4185.47
4/4/2021,4128.8
3/28/2021,4019.87
3/21/2021,3974.54
3/14/2021,3913.1
3/7/2021,3943.34
2/28/2021,3841.94
2/21/2021,3811.15
2/14/2021,3906.71
2/7/2021,3934.83
1/31/2021,3886.83
1/24/2021,3714.24
1/17/2021,3841.47
1/10/2021,3768.25
1/3/2021,3824.68
12/27/2020,3756.07
12/20/2020,3703.06
12/13/2020,3709.41
12/6/2020,3663.46
11/29/2020,3699.12
11/22/2020,3638.35
11/15/2020,3557.54
11/8/2020,3585.15
11/1/2020,3509.44
10/25/2020,3269.96
10/18/2020,3465.39
10/11/2020,3483.81
10/4/2020,3477.13
9/27/2020,3348.44
9/20/2020,3298.46
9/13/2020,3319.47
9/6/2020,3340.97
8/30/2020,3426.96
8/23/2020,3508.01
8/16/2020,3397.16
8/9/2020,3372.85
8/2/2020,3351.28
7/26/2020,3271.12
7/19/2020,3215.63
7/12/2020,3224.73
7/5/2020,3185.04
6/28/2020,3130.01
6/21/2020,3009.05
6/14/2020,3097.74
6/7/2020,3041.31
5/31/2020,3193.93
5/24/2020,3044.31
5/17/2020,2955.45
5/10/2020,2863.7
5/3/2020,2929.8
4/26/2020,2830.71
4/19/2020,2836.74
4/12/2020,2874.56
4/5/2020,2789.82
3/29/2020,2488.65
3/22/2020,2541.47
3/15/2020,2304.92
3/8/2020,2711.02
3/1/2020,2972.37
2/23/2020,2954.22
2/16/2020,3337.75
2/9/2020,3380.16
2/2/2020,3327.71
1/26/2020,3225.52
1/19/2020,3295.47
1/12/2020,3329.62
1/5/2020,3265.35
12/29/2019,3234.85
12/22/2019,3240.02
12/15/2019,3221.22
12/8/2019,3168.8
12/1/2019,3145.91
11/24/2019,3140.98
11/17/2019,3110.29
11/10/2019,3120.46
11/3/2019,3093.08
10/27/2019,3066.91
10/20/2019,3022.55
10/13/2019,2986.2
10/6/2019,2970.27
9/29/2019,2952.01
9/22/2019,2961.79
9/15/2019,2992.07
9/8/2019,3007.39
9/1/2019,2978.71
8/25/2019,2926.46
8/18/2019,2847.11
8/11/2019,2888.68
8/4/2019,2918.65
7/28/2019,2932.05
7/21/2019,3025.86
7/14/2019,2976.61
7/7/2019,3013.77
6/30/2019,2990.41
6/23/2019,2941.76
6/16/2019,2950.46
6/9/2019,2886.98
6/2/2019,2873.34
5/26/2019,2752.06
5/19/2019,2826.06
5/12/2019,2859.53
5/5/2019,2881.4
4/28/2019,2945.64
4/21/2019,2939.88
4/14/2019,2905.03
4/7/2019,2907.41
3/31/2019,2892.74
3/24/2019,2834.4
3/17/2019,2800.71
3/10/2019,2822.48
3/3/2019,2743.07
2/24/2019,2803.69
2/17/2019,2792.67
2/10/2019,2775.6
2/3/2019,2707.88
1/27/2019,2706.53
1/20/2019,2664.76
1/13/2019,2670.71
1/6/2019,2596.26
12/30/2018,2531.94
12/23/2018,2485.74
12/16/2018,2416.62
12/9/2018,2599.95
12/2/2018,2633.08
11/25/2018,2760.17
11/18/2018,2632.56
11/11/2018,2736.27
11/4/2018,2781.01
10/28/2018,2723.06
10/21/2018,2658.69
10/14/2018,2767.78
10/7/2018,2767.13
9/30/2018,2885.57
9/23/2018,2913.98
9/16/2018,2929.67
9/9/2018,2904.98
9/2/2018,2871.68
8/26/2018,2901.52
8/19/2018,2874.69
8/12/2018,2850.13
8/5/2018,2833.28
7/29/2018,2840.35
7/22/2018,2818.82
7/15/2018,2801.83
7/8/2018,2801.31
7/1/2018,2759.82
6/24/2018,2718.37
6/17/2018,2754.88
6/10/2018,2779.66
6/3/2018,2779.03
5/27/2018,2734.62
5/20/2018,2721.33
5/13/2018,2712.97
5/6/2018,2727.72
4/29/2018,2663.42
4/22/2018,2669.91
4/15/2018,2670.14
4/8/2018,2656.3
4/1/2018,2604.47
3/25/2018,2640.87
3/18/2018,2588.26
3/11/2018,2752.01
3/4/2018,2786.57
2/25/2018,2691.25
2/18/2018,2747.3
2/11/2018,2732.22
2/4/2018,2619.55
1/28/2018,2762.13
1/21/2018,2872.87
1/14/2018,2810.3
1/7/2018,2786.24
12/31/2017,2743.15
12/24/2017,2673.61
12/17/2017,2683.34
12/10/2017,2675.81
12/3/2017,2651.5
11/26/2017,2642.22
11/19/2017,2602.42
11/12/2017,2578.85
11/5/2017,2582.3
10/29/2017,2587.84
10/22/2017,2581.07
10/15/2017,2575.21
10/8/2017,2553.17
10/1/2017,2549.33
9/24/2017,2519.36
9/17/2017,2502.22
9/10/2017,2500.23
9/3/2017,2461.43
8/27/2017,2476.55
8/20/2017,2443.05
8/13/2017,2425.55
8/6/2017,2441.32
7/30/2017,2476.83
7/23/2017,2472.1
7/16/2017,2472.54
7/9/2017,2459.27
7/2/2017,2425.18
6/25/2017,2423.41
6/18/2017,2438.3
6/11/2017,2433.15
6/4/2017,2431.77
5/28/2017,2439.07
5/21/2017,2415.82
5/14/2017,2381.73
5/7/2017,2390.9
4/30/2017,2399.29
4/23/2017,2384.2
4/16/2017,2348.69
4/9/2017,2328.95
4/2/2017,2355.54
3/26/2017,2362.72
3/19/2017,2343.98
3/12/2017,2378.25
3/5/2017,2372.6
2/26/2017,2383.12
2/19/2017,2367.34
2/12/2017,2351.16
2/5/2017,2316.1
1/29/2017,2297.42
1/22/2017,2294.69
1/15/2017,2271.31
1/8/2017,2274.64
1/1/2017,2276.98
12/25/2016,2238.83
12/18/2016,2263.79
12/11/2016,2258.07
12/4/2016,2259.53
11/27/2016,2191.95
11/20/2016,2213.35
11/13/2016,2181.9
11/6/2016,2164.45
10/30/2016,2085.18
10/23/2016,2126.41
10/16/2016,2141.16
10/9/2016,2132.98
10/2/2016,2153.74
9/25/2016,2168.27
9/18/2016,2164.69
9/11/2016,2139.16
9/4/2016,2127.81
8/28/2016,2179.98
8/21/2016,2169.04
8/14/2016,2183.87
8/7/2016,2184.05
7/31/2016,2182.87
7/24/2016,2173.6
7/17/2016,2175.03
7/10/2016,2161.74
7/3/2016,2129.9
6/26/2016,2102.95
6/19/2016,2037.41
6/12/2016,2071.22
6/5/2016,2096.07
5/29/2016,2099.13
5/22/2016,2099.06
5/15/2016,2052.32
5/8/2016,2046.61
5/1/2016,2057.14
4/24/2016,2065.3
4/17/2016,2091.58
4/10/2016,2080.73
4/3/2016,2047.6
3/27/2016,2072.78
3/20/2016,2035.94
3/13/2016,2049.58
3/6/2016,2022.19
2/28/2016,1999.99
2/21/2016,1948.05
2/14/2016,1917.78
2/7/2016,1864.78
1/31/2016,1880.05
1/24/2016,1940.24
1/17/2016,1906.9
1/10/2016,1880.33
1/3/2016,1922.03
12/27/2015,2043.94
12/20/2015,2060.99
12/13/2015,2005.55
12/6/2015,2012.37
11/29/2015,2091.69
11/22/2015,2090.11
11/15/2015,2089.17
11/8/2015,2023.04
11/1/2015,2099.2
10/25/2015,2079.36
10/18/2015,2075.15
10/11/2015,2033.11
10/4/2015,2014.89
9/27/2015,1951.36
9/20/2015,1931.34
9/13/2015,1958.03
9/6/2015,1961.05
8/30/2015,1921.22
8/23/2015,1988.87
8/16/2015,1970.89
8/9/2015,2091.54
8/2/2015,2077.57
7/26/2015,2103.84
7/19/2015,2079.65
7/12/2015,2126.64
7/5/2015,2076.62
6/28/2015,2076.78
6/21/2015,2101.49
6/14/2015,2109.99
6/7/2015,2094.11
5/31/2015,2092.83
5/24/2015,2107.39
5/17/2015,2126.06
5/10/2015,2122.73
5/3/2015,2116.1
4/26/2015,2108.29
4/19/2015,2117.69
4/12/2015,2081.18
4/5/2015,2102.06
3/29/2015,2066.96
3/22/2015,2061.02
3/15/2015,2108.1
3/8/2015,2053.4
3/1/2015,2071.26
2/22/2015,2104.5
2/15/2015,2110.3
2/8/2015,2096.99
2/1/2015,2055.47
1/25/2015,1994.99
1/18/2015,2051.82
1/11/2015,2019.42
1/4/2015,2044.81
12/28/2014,2058.2
12/21/2014,2088.77
12/14/2014,2070.65
12/7/2014,2002.33
11/30/2014,2075.37
11/23/2014,2067.56
11/16/2014,2063.5
11/9/2014,2039.82
11/2/2014,2031.92
10/26/2014,2018.05
10/19/2014,1964.58
10/12/2014,1886.76
10/5/2014,1906.13
9/28/2014,1967.9
9/21/2014,1982.85
9/14/2014,2010.4
9/7/2014,1985.54
8/31/2014,2007.71
8/24/2014,2003.37
8/17/2014,1988.4
8/10/2014,1955.06
8/3/2014,1931.59
7/27/2014,1925.15
7/20/2014,1978.34
7/13/2014,1978.22
7/6/2014,1967.57
6/29/2014,1985.44
6/22/2014,1960.96
6/15/2014,1962.87
6/8/2014,1936.16
6/1/2014,1949.44
5/25/2014,1923.57
5/18/2014,1900.53
5/11/2014,1877.86
5/4/2014,1878.48
4/27/2014,1881.14
4/20/2014,1863.4
4/13/2014,1864.85
4/6/2014,1815.69
3/30/2014,1865.09
3/23/2014,1857.62
3/16/2014,1866.52
3/9/2014,1841.13
3/2/2014,1878.04
2/23/2014,1859.45
2/16/2014,1836.25
2/9/2014,1838.63
2/2/2014,1797.02
1/26/2014,1782.59
1/19/2014,1790.29
1/12/2014,1838.7
1/5/2014,1842.37
12/29/2013,1831.37
12/22/2013,1841.4
12/15/2013,1818.32
12/8/2013,1775.32
12/1/2013,1805.09
11/24/2013,1805.81
11/17/2013,1804.76
11/10/2013,1798.18
11/3/2013,1770.61
10/27/2013,1761.64
10/20/2013,1759.77
10/13/2013,1744.5
10/6/2013,1703.2
9/29/2013,1690.5
9/22/2013,1691.75
9/15/2013,1709.91
9/8/2013,1687.99
9/1/2013,1655.17
8/25/2013,1632.97
8/18/2013,1663.5
8/11/2013,1655.83
8/4/2013,1691.42
7/28/2013,1709.67
7/21/2013,1691.65
7/14/2013,1692.09
7/7/2013,1680.19
6/30/2013,1631.89
6/23/2013,1606.28
6/16/2013,1592.43
6/9/2013,1626.73
6/2/2013,1643.38
5/26/2013,1630.74
5/19/2013,1649.6
5/12/2013,1667.47
5/5/2013,1633.7
4/28/2013,1614.42
4/21/2013,1582.24
4/14/2013,1555.25
4/7/2013,1588.85
3/31/2013,1553.28
3/24/2013,1569.19
3/17/2013,1556.89
3/10/2013,1560.7
3/3/2013,1551.18
2/24/2013,1518.2
2/17/2013,1515.6
2/10/2013,1519.79
2/3/2013,1517.93
1/27/2013,1513.17
1/20/2013,1502.96
1/13/2013,1485.98
1/6/2013,1472.05
12/30/2012,1466.47
12/23/2012,1402.43
12/16/2012,1430.15
12/9/2012,1413.58
12/2/2012,1418.07
11/25/2012,1416.18
11/18/2012,1409.15
11/11/2012,1359.88
11/4/2012,1379.85
10/28/2012,1414.2
10/21/2012,1411.94
10/14/2012,1433.19
10/7/2012,1428.59
9/30/2012,1460.93
9/23/2012,1440.67
9/16/2012,1460.15
9/9/2012,1465.77
9/2/2012,1437.92
8/26/2012,1406.58
8/19/2012,1411.13
8/12/2012,1418.16
8/5/2012,1405.87
7/29/2012,1390.99
7/22/2012,1385.97
7/15/2012,1362.66
7/8/2012,1356.78
7/1/2012,1354.68
6/24/2012,1362.16
6/17/2012,1335.02
6/10/2012,1342.84
6/3/2012,1325.66
5/27/2012,1278.04
5/20/2012,1317.82
5/13/2012,1295.22
5/6/2012,1353.39
4/29/2012,1369.1
4/22/2012,1403.36
4/15/2012,1378.53
4/8/2012,1370.26
4/1/2012,1398.08
3/25/2012,1408.47
3/18/2012,1397.11
3/11/2012,1404.17
3/4/2012,1370.87
2/26/2012,1369.63
2/19/2012,1365.74
2/12/2012,1361.23
2/5/2012,1342.64
1/29/2012,1344.9
1/22/2012,1316.33
1/15/2012,1315.38
1/8/2012,1289.09
1/1/2012,1277.81
12/25/2011,1257.6
12/18/2011,1265.33
12/11/2011,1219.66
12/4/2011,1255.19
11/27/2011,1244.28
11/20/2011,1158.67
11/13/2011,1215.65
11/6/2011,1263.85
10/30/2011,1253.23
10/23/2011,1285.09
10/16/2011,1238.25
10/9/2011,1224.58
10/2/2011,1155.46
9/25/2011,1131.42
9/18/2011,1136.43
9/11/2011,1216.01
9/4/2011,1154.23
8/28/2011,1173.97
8/21/2011,1176.8
8/14/2011,1123.53
8/7/2011,1178.81
7/31/2011,1199.38
7/24/2011,1292.28
7/17/2011,1345.02
7/10/2011,1316.14
7/3/2011,1343.8
6/26/2011,1339.67
6/19/2011,1268.45
6/12/2011,1271.5
6/5/2011,1270.98
5/29/2011,1300.16
5/22/2011,1331.1
5/15/2011,1333.27
5/8/2011,1337.78
5/1/2011,1340.2
4/24/2011,1363.61
4/17/2011,1337.38
4/10/2011,1319.68
4/3/2011,1328.17
3/27/2011,1332.41
3/20/2011,1313.8
3/13/2011,1279.2
3/6/2011,1304.28
2/27/2011,1321.15
2/20/2011,1319.88
2/13/2011,1340.43
2/6/2011,1329.15
1/30/2011,1310.87
1/23/2011,1276.34
1/16/2011,1283.35
1/9/2011,1293.24
1/2/2011,1271.5
12/26/2010,1257.64
12/19/2010,1256.77
12/12/2010,1243.91
12/5/2010,1240.4
11/28/2010,1224.71
11/21/2010,1189.4
11/14/2010,1199.73
11/7/2010,1199.21
10/31/2010,1225.85
10/24/2010,1183.26
10/17/2010,1183.08
10/10/2010,1176.19
10/3/2010,1165.15
9/26/2010,1146.24
9/19/2010,1148.67
9/12/2010,1125.59
9/5/2010,1109.55
8/29/2010,1104.51
8/22/2010,1064.59
8/15/2010,1071.69
8/8/2010,1079.25
8/1/2010,1121.64
7/25/2010,1101.6
7/18/2010,1102.66
7/11/2010,1064.88
7/4/2010,1077.96
6/27/2010,1022.58
6/20/2010,1076.76
6/13/2010,1117.51
6/6/2010,1091.6
5/30/2010,1064.88
5/23/2010,1089.41
5/16/2010,1087.69
5/9/2010,1135.68
5/2/2010,1110.88
4/25/2010,1186.69
4/18/2010,1217.28
4/11/2010,1192.13
4/4/2010,1194.37
3/28/2010,1178.1
3/21/2010,1166.59
3/14/2010,1159.9
3/7/2010,1149.99
2/28/2010,1138.7
2/21/2010,1104.49
2/14/2010,1109.17
2/7/2010,1075.51
1/31/2010,1066.19
1/24/2010,1073.87
1/17/2010,1091.76
1/10/2010,1136.03
1/3/2010,1144.98
12/27/2009,1115.1
12/20/2009,1126.48
12/13/2009,1102.47
12/6/2009,1106.41
11/29/2009,1105.98
11/22/2009,1091.49
11/15/2009,1091.38
11/8/2009,1093.48
11/1/2009,1069.3
10/25/2009,1036.19
10/18/2009,1079.6
10/11/2009,1087.68
10/4/2009,1071.49
9/27/2009,1025.21
9/20/2009,1044.38
9/13/2009,1068.3
9/6/2009,1042.73
8/30/2009,1016.4
8/23/2009,1028.93
8/16/2009,1026.13
8/9/2009,1004.09
8/2/2009,1010.48
7/26/2009,987.48
7/19/2009,979.26
7/12/2009,940.38
7/5/2009,879.13
6/28/2009,896.42
6/21/2009,918.9
6/14/2009,921.23
6/7/2009,946.21
5/31/2009,940.09
5/24/2009,919.14
5/17/2009,887
5/10/2009,882.88
5/3/2009,929.23
4/26/2009,877.52
4/19/2009,866.23
4/12/2009,869.6
4/5/2009,856.56
3/29/2009,842.5
3/22/2009,815.94
3/15/2009,768.54
3/8/2009,756.55
3/1/2009,683.38
2/22/2009,735.09
2/15/2009,770.05
2/8/2009,826.84
2/1/2009,868.6
1/25/2009,825.88
1/18/2009,831.95
1/11/2009,850.12
1/4/2009,890.35
12/28/2008,931.8
12/21/2008,872.8
12/14/2008,887.88
12/7/2008,879.73
11/30/2008,876.07
11/23/2008,896.24
11/16/2008,800.03
11/9/2008,873.29
11/2/2008,930.99
10/26/2008,968.75
10/19/2008,876.77
10/12/2008,940.55
10/5/2008,899.22
9/28/2008,1099.23
9/21/2008,1213.27
9/14/2008,1255.08
9/7/2008,1251.7
8/31/2008,1242.31
8/24/2008,1282.83
8/17/2008,1292.2
8/10/2008,1298.2
8/3/2008,1296.32
7/27/2008,1260.31
7/20/2008,1257.76
7/13/2008,1260.68
7/6/2008,1239.49
6/29/2008,1262.9
6/22/2008,1278.38
6/15/2008,1317.93
6/8/2008,1360.03
6/1/2008,1360.68
5/25/2008,1400.38
5/18/2008,1375.93
5/11/2008,1425.35
5/4/2008,1388.28
4/27/2008,1413.9
4/20/2008,1397.84
4/13/2008,1390.33
4/6/2008,1332.83
3/30/2008,1370.4
3/23/2008,1315.22
3/16/2008,1329.51
3/9/2008,1288.14
3/2/2008,1293.37
2/24/2008,1330.63
2/17/2008,1353.11
2/10/2008,1349.99
2/3/2008,1331.29
1/27/2008,1395.42
1/20/2008,1330.61
1/13/2008,1325.19
1/6/2008,1401.02
12/30/2007,1411.63
12/23/2007,1478.49
12/16/2007,1484.46
12/9/2007,1467.95
12/2/2007,1504.66
11/25/2007,1481.14
11/18/2007,1440.7
11/11/2007,1458.74
11/4/2007,1453.7
10/28/2007,1509.65
10/21/2007,1535.28
10/14/2007,1500.63
10/7/2007,1561.8
9/30/2007,1557.59
9/23/2007,1526.75
9/16/2007,1525.75
9/9/2007,1484.25
9/2/2007,1453.55
8/26/2007,1473.99
8/19/2007,1479.37
8/12/2007,1445.94
8/5/2007,1453.64
7/29/2007,1433.06
7/22/2007,1458.95
